Player,Acno,Blaze,Link,simpLe,Macheeeete,Fozey,VipR3,hysen,Aggz0,Addymestic,Blew,Aerial,hermisen,Cake,Zapapy,TM,TheNinja729,Pavelski,Stikieuh,Daz,zyder,Neeze,Diakou,720polyshot,ErTito...,M for Mini,Goosey,Swata,Luc,Introvert Taher,PreciesMaurice,VeTox,Cowfish,Vortex.,GodlyQ_,DNR,Solarson,Fizz,nexo,Rakushain,danyboss00,Iso_nbyo,ImP PAIKOr!?,Tinix,FryDasOle,OVM,QS.,dmvinke,tobi,SNK | Spyrox,XXT,Sebbe,ishett,SJP,cohen,KiXe,Derpyfish007,vlekje513,Chrismaster,Ryô,2D,Snowb4ll,SenseiDoge,TheYeGuy,ConDenzed,Zero,Blurrinq,VibeZz,LollyLipZz,Fissh,Godfather,SixPaths,SummerSide,Ted.,Jaku,Kresuu,Cedero,wave god,Declan,Spacix,Niqqle,Mozze,Sgrape,Hazer_Koko,Hazer_Delta,Marie,PizzaDelivery,Derk,Azriel,29Hz RayDave,Soda,Star / Hiora,Sooda,Lite,Nazzy,OrsoGrasso,FrostedKermit,CraZyB,Fort,Casuu,Jokyy,xShinju,lord-(OwO)-pop,Hollywood Chillin,Ino | CleXeD ツ,ZiB,Lil'Fox <3,iiizeusziii,Mert,yuukii,mepmepy,ScRp?!,twygz,Michael Smith,icehall,Dennis,WBA,arielpr0,Glassy,Izmonster,Maden,Civrei79,Jaiyce,Inotorious,Yami,Gabbe,RONIN,romanraa,Alexis,Starla,Motiburgeri,koro sensei,Rosé,Chi,The Floater,Landfish,[H]ades,Keital,Sponge,Skwid,Delirium,Ext,zBlackneight,Breakour,MicroKurd,SpiritWolf,jj0zak,Unstoppable-187,Zimbabwaan,Feestpietfabio,omns,KingJelly,Duugu_,ツヴェルジェンネスト,ViniPan,Yann_X,Trabje,Azursep,Viski,Aksu,Phytz,Ikkuh,Ryzen,Exzetro,Realshady,adi,SwYire,Hount,Callum4thel0lz,Vocal,AlyFeon.,Sandali,Zzoppa,Lussei,HarryPeter,FernandoM,Bartu,Duplox,Daw3ty,REALmisha,Shadra - Baguette senpai,CrossyChainsaw,Jermie,xThe_Kid_187,NoHandMitSxuf,vAzumi--,NSaabo,ItzSolus-,ClxssicTM (2),TORSin,MiniKMarty,GamBorler,HNZ,Endre,YaMan!!,Spyder,Cozy,vTamamo--,Rafa,Rubito,vintah
Place,1,1,2,2,3,3,4,5,7,7,5,13,13,4,9,9,7,7,5,5,13,9,9,13,17,13,13,9,9,13,13,17,17,17,17,17,17,,25,25,25,25,9,9,25,25,,33,17,17,17,385,385,33,17,,,25,25,17,,33,65,33,33,17,,25,25,17,,49,49,,17,17,,,,25,25,33,33,33,33,33,25,25,25,25,,,49,33,33,49,49,49,33,33,33,65,65,33,33,65,65,65,33,33,33,65,49,49,,33,33,65,33,49,65,49,49,49,385,385,65,,,33,33,49,49,33,,,97,97,65,193,193,65,97,129,,33,49,,,65,65,65,129,33,33,97,,,65,65,129,,65,257,,129,97,97,49,33,65,65,65,257,257,97,97,97,,,385,65,65,,,49,49,,,,65,,,,33,65,65,65,,,65
Points from place,110,110,80,80,70,70,60,50,40,40,50,24,24,60,28,28,40,40,50,50,24,28,28,24,20,24,24,28,28,24,24,20,20,20,20,20,20,,16,16,16,16,28,28,16,16,,4,20,20,20,1,1,4,20,,,16,16,20,,4,2,4,4,20,,16,16,20,,4,4,,20,20,,,,16,16,4,4,4,4,4,16,16,16,16,,,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2,4,4,4,2,4,4,,4,4,2,4,4,2,4,4,4,1,1,2,,,4,4,4,4,4,,,2,2,2,1,1,2,2,1,,4,4,,,2,2,2,1,4,4,2,,,2,2,1,,2,1,,1,2,2,4,4,2,2,2,1,1,2,2,2,,,1,2,2,,,4,4,,,,2,,,,4,2,2,2,,,2
Wins (opponent seed),[3 3 4],[3 3 4],[2 4 6],[2 4 6],[2 6 12],[2 6 12],[7 14 15],[7 11 13],[10 26 28],[10 26 28],[7 11 13],[18 21 28],[18 21 28],[7 14 15],[9 24 136],[9 24 136],[8 15 20],[8 15 20],[10 11 12],[10 11 12],[25 29 41],[5 20 23],[9 16 22],[25 29 41],[19 36 45],[22 31 54],[22 31 54],[9 16 22],[5 20 23],[18 21 31],[18 21 31],[17 17 49],[17 17 49],[32 50 79],[30 45 61],[32 50 79],[30 45 61],,[46 78 270],[46 78 270],[27 38 107],[27 38 107],[5 21 53],[5 21 53],[33 49 160],[33 49 160],,[81 240 368],[23 25 71],[26 41 72],[17 31 130],[677],[677],[81 240 368],[27 53 60],,,[23 39 231],[23 39 231],[26 41 72],,[34 226 415],[227 414 542],[55 90 362],[55 90 362],[19 36 45],,[35 46 78],[35 46 78],[23 25 71],,[76 236 364],[76 236 364],,[17 31 130],[27 53 60],,,,[17 33 65],[17 33 65],[30 222 350],[38 102 230],[70 75 219],[70 75 219],[38 102 230],[27 54 171],[27 54 171],[40 73 168],[40 73 168],,,[96 289 368],[30 67 302],[30 67 302],[25 121 248],[50 127 482],[50 127 482],[21 213 245],[21 213 245],[52 301 468],[90 218 474],[90 218 474],[48 81 561],[48 81 561],[93 292 477],[232 360 488],[232 360 488],[472 617 681],[25 40 89],[25 40 89],[72 136 217],[290 431 479],[25 121 248],,[34 63 226],[34 63 226],[193 577 704],[181 204 245],[196 228 333],[82 111 338],[296 360 473],[37 92 165],[37 92 165],[328],[328],[84 132 381],,,[74 87 186],[74 87 186],[443 667 699],[443 667 699],[30 222 350],,,[84 173 340],[220 341 476],[37 101 204],[89 169],[89 169],[61 68 317],[118 342 374],[131 243 643],,[34 226 415],[77 205 461],,,[128 240 337],[128 240 337],[61 68 317],[75 331 587],[36 77 148],[36 77 148],[48 528 721],,,[80 145 209],[80 145 209],[125 500 637],,[142 270 350],[187 326],,[156 405 453],[140 220 348],[140 220 348],[196 228 333],[181 204 245],[232 472 585],[231 586 650],[231 586 650],[386],[386],[88 216 296],[115 142 211],[115 142 211],,,[657],[150 278 363],[150 278 363],,,[39 170 362],[39 170 362],,,,[37 101 204],,,,[52 301 468],[191 319 575],[102 246 262],[102 246 262],,,[193 577 704]
Points from wins,24.256 [8.239+8.239+7.778],24.256 [8.239+8.239+7.778],23.794 [8.889+7.778+7.128],23.794 [8.889+7.778+7.128],22.033 [8.889+7.128+6.017],22.033 [8.889+7.128+6.017],18.309 [6.881+5.77+5.659],18.925 [6.881+6.156+5.888],15.745 [6.309+4.777+4.658],15.745 [6.309+4.777+4.658],18.925 [6.881+6.156+5.888],15.145 [5.367+5.12+4.658],15.145 [5.367+5.12+4.658],18.309 [6.881+5.77+5.659],13.508 [6.478+4.906+2.125],13.508 [6.478+4.906+2.125],17.524 [6.667+5.659+5.198],17.524 [6.667+5.659+5.198],18.482 [6.309+6.156+6.017],18.482 [6.309+6.156+6.017],13.49 [4.84+4.602+4.047],17.592 [7.42+5.198+4.974],17.078 [6.478+5.556+5.045],13.49 [4.84+4.602+4.047],13.434 [5.28+4.256+3.898],13.146 [5.045+4.495+3.606],13.146 [5.045+4.495+3.606],17.078 [6.478+5.556+5.045],17.592 [7.42+5.198+4.974],14.982 [5.367+5.12+4.495],14.982 [5.367+5.12+4.495],14.678 [5.458+5.458+3.761],14.678 [5.458+5.458+3.761],11.169 [4.444+3.729+2.996],11.856 [4.548+3.898+3.41],11.169 [4.444+3.729+2.996],11.856 [4.548+3.898+3.41],,6.879 [3.863+3.016+0],6.879 [3.863+3.016+0],11.395 [4.717+4.169+2.509],11.395 [4.717+4.169+2.509],16.175 [7.42+5.12+3.636],16.175 [7.42+5.12+3.636],10.021 [4.395+3.761+1.865],10.021 [4.395+3.761+1.865],,4.17 [2.956+1.215+0],12.981 [4.974+4.84+3.167],11.969 [4.777+4.047+3.145],12.151 [5.458+4.495+2.197],0,0,4.17 [2.956+1.215+0],11.789 [4.717+3.636+3.437],,,10.377 [4.974+4.127+1.276],10.377 [4.974+4.127+1.276],11.969 [4.777+4.047+3.145],,5.658 [4.347+1.311+0],1.304 [1.304+0+0],6.363 [3.576+2.787+0],6.363 [3.576+2.787+0],13.434 [5.28+4.256+3.898],,11.18 [4.301+3.863+3.016],11.18 [4.301+3.863+3.016],12.981 [4.974+4.84+3.167],,4.299 [3.058+1.242+0],4.299 [3.058+1.242+0],,12.151 [5.458+4.495+2.197],11.789 [4.717+3.636+3.437],,,,13.162 [5.458+4.395+3.308],13.162 [5.458+4.395+3.308],5.887 [4.548+1.34+0],8.038 [4.169+2.586+1.283],7.63 [3.19+3.079+1.361],7.63 [3.19+3.079+1.361],8.038 [4.169+2.586+1.283],10.08 [4.717+3.606+1.758],10.08 [4.717+3.606+1.758],8.995 [4.087+3.122+1.786],8.995 [4.087+3.122+1.786],,,2.683 [2.683+0+0],7.808 [4.548+3.26+0],7.808 [4.548+3.26+0],8.315 [4.84+2.312+1.162],5.964 [3.729+2.235+0],5.964 [3.729+2.235+0],7.707 [5.12+1.406+1.182],7.707 [5.12+1.406+1.182],3.666 [3.666+0+0],4.156 [2.787+1.369+0],4.156 [2.787+1.369+0],6.75 [3.794+2.956+0],6.75 [3.794+2.956+0],2.734 [2.734+0+0],1.269 [1.269+0+0],1.269 [1.269+0+0],0,11.732 [4.84+4.087+2.805],11.732 [4.84+4.087+2.805],6.646 [3.145+2.125+1.376],0,8.315 [4.84+2.312+1.162],,9.017 [4.347+3.359+1.311],9.017 [4.347+3.359+1.311],1.564 [1.564+0+0],4.323 [1.667+1.475+1.182],2.836 [1.539+1.297+0],5.387 [2.936+2.451+0],0,8.779 [4.212+2.752+1.815],8.779 [4.212+2.752+1.815],0,0,5.07 [2.897+2.173+0],,,7.565 [3.101+2.841+1.623],7.565 [3.101+2.841+1.623],0,0,5.887 [4.548+1.34+0],,,4.637 [2.897+1.739+0],1.354 [1.354+0+0],8.289 [4.212+2.602+1.475],4.582 [2.805+1.777],4.582 [2.805+1.777],6.646 [3.41+3.236+0],2.353 [2.353+0+0],3.38 [2.185+1.195+0],,5.658 [4.347+1.311+0],4.504 [3.037+1.467+0],,,3.437 [2.222+1.215+0],3.437 [2.222+1.215+0],6.646 [3.41+3.236+0],3.079 [3.079+0+0],9.282 [4.256+3.037+1.989],9.282 [4.256+3.037+1.989],3.794 [3.794+0+0],,,6.434 [2.976+2.022+1.436],6.434 [2.976+2.022+1.436],2.26 [2.26+0+0],,2.056 [2.056+0+0],1.615 [1.615+0],,1.905 [1.905+0+0],3.433 [2.079+1.354+0],3.433 [2.079+1.354+0],2.836 [1.539+1.297+0],4.323 [1.667+1.475+1.182],1.269 [1.269+0+0],1.276 [1.276+0+0],1.276 [1.276+0+0],0,0,4.206 [2.823+1.383+0],5.871 [2.394+2.056+1.421],5.871 [2.394+2.056+1.421],,,0,1.968 [1.968+0+0],1.968 [1.968+0+0],,,5.895 [4.127+1.767+0],5.895 [4.127+1.767+0],,,,8.289 [4.212+2.602+1.475],,,,3.666 [3.666+0+0],1.581 [1.581+0+0],3.761 [2.586+1.175+0],3.761 [2.586+1.175+0],,,1.564 [1.564+0+0]
Losses (opponent place),[],[],[1 1],[1 1],[2 1],[2 1],[3 2],[3 2],[5 4],[5 4],[3 2],[9 9],[9 9],[3 2],[7 1],[7 1],[5 7],[5 7],[4 2],[4 2],[9 9],[5 3],[13 7],[9 9],[3 13],[5 5],[5 5],[13 7],[5 3],[7 4],[7 4],[9 1],[9 1],[13 13],[9 7],[13 13],[9 7],,[5 17],[5 17],[13 9],[13 9],[5 3],[5 3],[1 17],[1 17],,[25 17],[7 9],[9 5],[13 13],[257 257],[257 257],[25 17],[13 13],,,[7 17],[7 17],[9 5],,[17 4],[33 33],[25 17],[25 17],[3 13],,[5 17],[5 17],[7 9],,[33 9],[33 9],,[13 13],[13 13],,,,[17 17],[17 17],[25 2],[25 5],[25 33],[25 33],[25 5],[25 17],[25 17],[13 17],[13 17],,,[25 25],[25 25],[25 25],[17 13],[17 4],[17 4],[9 17],[9 17],[17 17],[49 25],[49 25],[25 17],[25 17],[33 17],[49 33],[49 33],[17 13],[25 9],[25 9],[25 33],[33 33],[17 13],,[17 65],[17 65],[25 1],[17 9],[33 49],[49 17],[25 33],[17 9],[17 9],[257 257],[257 257],[49 3],,,[17 7],[17 7],[33 5],[33 5],[25 2],,,[33 33],[65 49],[49 65],[97 257],[97 257],[49 3],[65 13],[33 65],,[17 4],[33 9],,,[33 97],[33 97],[49 3],[49 65],[17 65],[17 65],[65 49],,,[49 33],[49 33],[97 65],,[25 2],[49 65],,[65 97],[65 49],[65 49],[33 49],[17 9],[17 25],[33 49],[33 49],[49 193],[49 193],[65 33],[65 25],[65 25],,,[257 257],[49 129],[49 129],,,[33 17],[33 17],,,,[49 65],,,,[17 17],[33 4],[25 193],[25 193],,,[25 1]
Points from losses,20,20,16.2,16.2,14.4,14.4,11.2,11.2,8.4,8.4,11.2,5,5,11.2,10.8,10.8,7.2,7.2,11.2,11.2,5,8.4,6,5,7,7.2,7.2,6,8.4,8.4,8.4,9,9,5,6,5,6,,4.2,4.2,5,5,8.4,8.4,6.3,6.3,,2.45,6,6,5,0.05,0.05,2.45,5,,,4.2,4.2,6,,4.9,0.2,2.45,2.45,7,,4.2,4.2,6,,1,1,,5,5,,,,2.45,2.45,5.6,4.2,0.7,0.7,4.2,2.45,2.45,3.5,3.5,,,2.45,2.45,2.45,3.5,4.9,4.9,3.5,3.5,2.45,0.7,0.7,2.45,2.45,0.7,0.2,0.2,3.5,3.5,3.5,0.7,0.2,3.5,,0.35,0.35,6.3,3.5,0.2,0.7,0.7,3.5,3.5,0.05,0.05,1.4,,,4.2,4.2,1.2,1.2,5.6,,,0.2,0.1,0.1,0.05,0.05,1.4,0.5,0.1,,4.9,1,,,0.1,0.1,1.4,0.1,0.35,0.35,0.1,,,0.2,0.2,0.05,,5.6,0.1,,0.05,0.1,0.1,0.2,3.5,2.45,0.2,0.2,0.1,0.1,0.1,0.35,0.35,,,0.05,0.1,0.1,,,0.7,0.7,,,,0.1,,,,2.45,1.4,0.35,0.35,,,6.3
Base total,154.256,154.256,119.994,119.994,106.433,106.433,89.509,80.125,64.145,64.145,80.125,44.145,44.145,89.509,52.308,52.308,64.724,64.724,79.682,79.682,42.49,53.992,51.078,42.49,40.434,44.346,44.346,51.078,53.992,47.382,47.382,43.678,43.678,36.169,37.856,36.169,37.856,,27.079,27.079,32.395,32.395,52.575,52.575,32.321,32.321,,10.62,38.981,37.969,37.151,1.05,1.05,10.62,36.789,,,30.577,30.577,37.969,,14.558,3.504,12.813,12.813,40.434,,31.38,31.38,38.981,,9.299,9.299,,37.151,36.789,,,,31.612,31.612,15.487,16.238,12.33,12.33,16.238,28.53,28.53,28.495,28.495,,,9.133,14.258,14.258,15.815,14.864,14.864,15.207,15.207,10.116,6.856,6.856,13.2,13.2,5.434,3.469,3.469,7.5,19.232,19.232,9.346,4.2,15.815,,13.367,13.367,9.864,11.823,7.036,8.087,4.7,16.279,16.279,1.05,1.05,8.47,,,15.765,15.765,5.2,5.2,15.487,,,6.837,3.454,10.389,5.632,5.632,10.046,4.853,4.48,,14.558,9.504,,,5.537,5.537,10.046,4.179,13.632,13.632,5.894,,,8.634,8.634,3.31,,9.656,2.715,,2.955,5.533,5.533,7.036,11.823,5.719,3.476,3.476,1.1,1.1,6.306,8.221,8.221,,,1.05,4.068,4.068,,,10.595,10.595,,,,10.389,,,,10.116,4.981,6.111,6.111,,,9.864
Points after weight (1 => x0.75),115.692,115.692,89.996,89.996,79.825,79.825,67.132,60.094,48.109,48.109,60.094,33.109,33.109,67.132,39.231,39.231,48.543,48.543,59.761,59.761,31.867,40.494,38.309,31.867,30.325,33.26,33.26,38.309,40.494,35.536,35.536,32.759,32.759,27.127,28.392,27.127,28.392,,20.309,20.309,24.296,24.296,39.432,39.432,24.241,24.241,,7.965,29.236,28.477,27.863,0.788,0.788,7.965,27.592,,,22.933,22.933,28.477,,10.919,2.628,9.61,9.61,30.325,,23.535,23.535,29.236,,6.975,6.975,,27.863,27.592,,,,23.709,23.709,11.616,12.178,9.248,9.248,12.178,21.398,21.398,21.372,21.372,,,6.85,10.693,10.693,11.861,11.148,11.148,11.405,11.405,7.587,5.142,5.142,9.9,9.9,4.076,2.602,2.602,5.625,14.424,14.424,7.009,3.15,11.861,,10.025,10.025,7.398,8.868,5.277,6.065,3.525,12.209,12.209,0.788,0.788,6.353,,,11.824,11.824,3.9,3.9,11.616,,,5.128,2.591,7.792,4.224,4.224,7.535,3.639,3.36,,10.919,7.128,,,4.153,4.153,7.535,3.134,10.224,10.224,4.421,,,6.476,6.476,2.483,,7.242,2.036,,2.216,4.149,4.149,5.277,8.868,4.289,2.607,2.607,0.825,0.825,4.73,6.166,6.166,,,0.788,3.051,3.051,,,7.946,7.946,,,,7.792,,,,7.587,3.735,4.583,4.583,,,7.398
Final points after recency (x0.9988136348222946),115.554,115.554,89.889,89.889,79.73,79.73,67.052,60.023,48.051,48.051,60.023,33.069,33.069,67.052,39.185,39.185,48.485,48.485,59.69,59.69,31.829,40.446,38.263,31.829,30.289,33.22,33.22,38.263,40.446,35.494,35.494,32.72,32.72,27.095,28.358,27.095,28.358,,20.285,20.285,24.268,24.268,39.385,39.385,24.212,24.212,,7.956,29.201,28.443,27.83,0.787,0.787,7.956,27.559,,,22.906,22.906,28.443,,10.906,2.625,9.598,9.598,30.289,,23.507,23.507,29.201,,6.966,6.966,,27.83,27.559,,,,23.681,23.681,11.602,12.164,9.237,9.237,12.164,21.372,21.372,21.346,21.346,,,6.842,10.681,10.681,11.847,11.135,11.135,11.392,11.392,7.578,5.136,5.136,9.888,9.888,4.071,2.599,2.599,5.618,14.407,14.407,7.001,3.146,11.847,,10.013,10.013,7.389,8.857,5.271,6.058,3.521,12.194,12.194,0.787,0.787,6.345,,,11.81,11.81,3.895,3.895,11.602,,,5.121,2.587,7.782,4.219,4.219,7.526,3.635,3.356,,10.906,7.12,,,4.148,4.148,7.526,3.131,10.212,10.212,4.416,,,6.468,6.468,2.48,,7.233,2.034,,2.214,4.145,4.145,5.271,8.857,4.284,2.604,2.604,0.824,0.824,4.724,6.158,6.158,,,0.787,3.047,3.047,,,7.937,7.937,,,,7.782,,,,7.578,3.731,4.578,4.578,,,7.389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Winter Championship 2020 EU 2v2 - 3/1/2020 - 55 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,1,1,2,2,4,4,3,3,5,5,9,5,5,17,7,7,9,9,25,25,7,9,9,9,9,13,13,17,17,17,17,17,17,13,25,25,25,7,17,17,25,25,,,33,33,9,17,65,49,33,13,13,17,49,13,13,33,33,65,13,25,17,25,25,,17,49,49,,17,25,25,17,,,17,25,25,,,49,33,33,33,33,,,,,25,25,33,33,33,65,49,49,97,97,33,49,49,65,65,49,33,33,33,,,49,33,193,33,97,97,49,65,49,65,49,,,33,33,65,33,33,,,49,49,,33,33,65,49,97,49,49,129,65,65,33,,129,33,33,65,65,129,49,,,65,33,33,129,129,65,33,193,65,33,65,97,97,97,,97,65,65,97,97,65,65,65,49,49,49,65,65,65,65,,,49,49,65,,65,49,49,,65,97,97,49,49,
Points from place,110,110,80,80,60,60,70,70,50,50,28,50,50,20,40,40,28,28,16,16,40,28,28,28,28,24,24,20,20,20,20,20,20,24,16,16,16,40,20,20,16,16,,,4,4,28,20,2,4,4,24,24,20,4,24,24,4,4,2,24,16,20,16,16,,20,4,4,,20,16,16,20,,,20,16,16,,,4,4,4,4,4,,,,,16,16,4,4,4,2,4,4,2,2,4,4,4,2,2,4,4,4,4,,,4,4,1,4,2,2,4,2,4,2,4,,,4,4,2,4,4,,,4,4,,4,4,2,4,2,4,4,1,2,2,4,,1,4,4,2,2,1,4,,,2,4,4,1,1,2,4,1,2,4,2,2,2,2,,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,,,4,4,2,,2,4,4,,2,2,2,4,4,
Wins (opponent seed),[1 3 7],[1 3 7],[1 2 3],[1 2 3],[5 8 10],[5 8 10],[5 9 16],[5 9 16],[12 13 21],[12 13 21],[4 20 52],[6 14 30],[6 14 30],[19 61 84],[8 10 24],[8 10 24],[15 20 23],[11 27 59],[30 35 110],[30 35 110],[6 18 23],[16 25 29],[11 27 59],[4 20 52],[15 20 23],[19 24 51],[19 24 51],[31 32 64],[30 36 84],[31 32 146],[31 32 146],[22 37 53],[22 37 53],[17 28 48],[21 37 69],[24 25 89],[55 90 103],[6 18 23],[29 36 100],[29 36 100],[30 51 83],[30 51 83],,,[21 44 149],[21 44 149],[16 25 29],[21 22 43],[72 136 217],[164 180 205],[183 202 314],[18 27 50],[18 27 50],[30 36 84],[92 293 332],[4 25 42],[4 25 42],[52 68 173],[52 68 173],[160 161 257],[17 28 48],[55 90 103],[24 26 41],[32 48 80],[32 48 80],,[31 32 64],[83 318 323],[83 318 323],,[24 26 41],[22 59 75],[22 59 75],[21 22 43],,,[19 61 84],[24 25 89],[21 37 69],,,[42 58 74],[44 213 309],[71 71 282],[71 71 282],[56 152 233],,,,,[31 50 175],[31 50 175],[34 98 226],[70 86 203],[61 164 260],[57 72 313],[192 304 337],[192 304 337],[89 169],[89 169],[61 164 260],[54 75 166],[54 75 166],[87 215],[87 215],[42 58 74],[33 160 225],[33 160 225],[70 86 203],,,[73 153 281],[25 88 105],[210],[34 98 226],[99 275],[99 275],[124 213 341],[229 236 293],[80 96 289],[103 106 215],[58 90 183],,,[43 150 278],[43 150 278],[151 154 231],[33 192 225],[33 192 225],,,[66 162 223],[66 162 223],,[35 158 227],[35 158 227],[103 106 215],[58 90 183],[162 255 303],[73 201 313],[73 153 281],[104 232 329],[86 91 150],[41 105 153],[25 88 105],,[104 232 329],[34 63 146],[34 63 146],[67 190 243],[67 190 243],[81 304],[73 201 313],,,[151 154 231],[62 78 94],[62 78 94],[156 181 284],[156 181 284],[86 91 150],[44 213 309],[120],[85 92 101],[56 152 233],[57 72 313],[82 223 338],[82 223 338],[162 255 303],,[93 221 301],[99 174 222],[99 174 222],[39 87 167],[39 87 167],[91 262 278],[239 319 335],[239 319 335],[78 254 307],[78 254 307],[164 180 205],[66 242 306],[66 242 306],[69 117 133],[69 117 133],,,[70 294 315],[70 294 315],[41 105 153],,[85 92 101],[68 109 317],[68 109 317],,[229 236 293],[188 284],[188 284],[98 306 335],[98 306 335],
