Player,Sandstorm,Boomie,Cody Travis,Simba,Santy,Phazon,noeL,Ethan,Pugsyxd,daze,Lil Capped,ithrowow,STTP Wilson,T1FF4NY,bacon_,Tasty,hardymj,Crockie,McSlammy,nick,Blaizzy,Pier,Winged_Shell,wrenchd,Cosolix,Zexis,DoubleDime,Remmy,Casey,Experience,Kyzer,Blood Diamond,Isidroo,Khui,Matt,Parallel,STING RAY,Contrast,Sand_Wic,killerr168,HyperHero,Midget,Impala,Littledawg,Hostile,Serenade,Georgegd18,Hanabi,ZEEKO,Loki,Tobi (2),Duke,Ryo,Mac!,ImLlama,wbz,Crag,Snowflake,DuckP,Van Thurl,Zacoi,wodahS,MisT,Nox,Atrophius,gabe.,Cole,Snowy,iLLu,exo,hazN,DuBz,Walshy,SillyGobi,Jolly,Magma,Stevenator,DiamondGravity,Velo_citY | Brian,Ming,Zabz,Killua,AcidicAlien,Sight,JuicyDiaper,Toxic_Language,bazzball,Shoe,Kazpery,Techables,Tendo,Matt (2),Insanik,xRanger,JakeyBoyCoffman,UNSTOPABLExGOD,Shadow0q12,AHeroOverNight,RexDanKnight,zucchini fettuccini,Super Ukodo,TheGreatUddini,Hawk (2),Shwerpy,Super521,Yeakoo,Mega Man (KL),Snowstorm,RyXin,danstokes100,KingFish,viigl,intel,Mars,Kaggmaster,Jay (2),buffsee (fake_anas),Anas,Karmapples,Luffy (2),Vegetaflex,FeebleStar,choppA,filth,Zinquer,Stig,chuyqwerty,BagOfOreos,Fred Fredburger,jellyfish,Weaver,GrillSznSwish,GrillSznRue,Nikyle,AORX,paris,HeyItsSoar,Stqnky,Pawapow,Slime,pinch crab,Burnt Pan (2),compute,Blueguys,Cyclist,iOhennyOi,Heckray,Atied,Blackout,swiff,XimpleVengence,Chancey-_-,Cobwhy,speedy,Egocentrismic,AllaGator_BA,NotDaiveon,GlentheGoat,SenpaiRico,MorganTan03,Fishy,xtc,24 Mahrama,zelchy,Avon,Xrb,Cloudyskies-,Revolaying,Unreplace (2),DBZkingbuck1000,Cloud,HD Fakey,HaNe,Mommiimode,NaiveKnives,gayomi,Glue,Linguini,Silverarrow360,Jking7,uksspy,uksmegalodon,MidNite,Jinxed,KillCookiee,HarryDeCat,Law47,Blurr Kibbles,Megdyy,Epic,Xynthix,Grizzy,irresponsiblemom,DerpyDood,Spoonceman,Snow Miser,chinny,Kevro,dridrifam,Lixidy,F4ntasy,IPingU202,Snt_fatrj,PheonixSkittles,TheChaseBoss
Place,1,1,2,3,3,2,5,5,9,9,4,4,17,13,13,5,5,7,7,9,9,9,9,7,7,9,9,13,17,13,13,17,13,13,17,17,17,17,17,17,33,33,25,17,257,257,25,33,13,17,25,25,385,385,33,25,25,25,25,17,17,,,25,33,17,49,,25,25,25,25,25,17,49,25,25,65,65,513,33,33,33,,,,33,,,49,49,33,49,49,49,65,65,,,65,65,65,97,65,65,49,33,33,65,49,129,129,49,49,129,129,,,49,49,33,33,33,33,49,49,,193,193,,,97,97,33,33,65,49,49,33,33,65,33,33,33,33,33,33,,,385,97,97,,65,65,,,33,33,49,49,,49,,,,,,,49,33,33,33,97,385,,,,,129,65,65,65,257,257,65,65,257,,65,65,193,65,65,257,257,129,,,49,,,65,65,
Points from place,110,110,80,70,70,80,50,50,28,28,60,60,20,24,24,50,50,40,40,28,28,28,28,40,40,28,28,24,20,24,24,20,24,24,20,20,20,20,20,20,4,4,16,20,1,1,16,4,24,20,16,16,1,1,4,16,16,16,16,20,20,,,16,4,20,4,,16,16,16,16,16,20,4,16,16,2,2,1,4,4,4,,,,4,,,4,4,4,4,4,4,2,2,,,2,2,2,2,2,2,4,4,4,2,4,1,1,4,4,1,1,,,4,4,4,4,4,4,4,4,,1,1,,,2,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,,,1,2,2,,2,2,,,4,4,4,4,,4,,,,,,,4,4,4,4,2,1,,,,,1,2,2,2,1,1,2,2,1,,2,2,1,2,2,1,1,1,,,4,,,2,2,
Wins (opponent seed),[2 5 5],[2 5 5],[1 2 4],[3 10 15],[3 10 15],[1 2 4],[6 14 30],[6 14 30],[13 29 125],[13 29 125],[3 8 14],[3 8 14],[26 71 263],[19 25 72],[19 25 72],[6 10 12],[6 10 12],[4 11 19],[4 11 19],[7 15 30],[7 15 30],[11 27 59],[11 27 59],[7 16 23],[7 16 23],[8 17 22],[8 17 22],[17 22 54],[23 25 298],[15 21 47],[15 21 47],[26 71 263],[32 76 140],[32 76 140],[29 46 110],[29 46 110],[28 59 470],[31 48 401],[31 48 401],[26 41 105],[79 242 527],[79 242 527],[37 44 101],[26 41 105],[492],[492],[37 44 101],[70 75 454],[17 22 54],[18 33 48],[15 31 479],[15 31 479],[326],[326],[76 117 172],[36 52 541],[36 52 541],[23 231 295],[23 231 295],[27 37 60],[27 37 60],,,[18 31 47],[360 473 537],[23 25 298],[84 445 468],,[222 478 478],[27 54 219],[27 54 219],[18 31 47],[222 478 478],[28 59 470],[339 451 467],[25 57 73],[25 57 73],[68 196 317],[68 196 317],[318],[79 175 242],[170 407 458],[170 407 458],,,,[49 64 432],,,[63 466 530],[63 466 530],[70 75 443],[172 421 476],[172 421 476],[129 433 464],[230 539 614],[230 539 614],,,[65 416 513],[33 128 448],[33 128 448],[67 563 691],[93 548 804],[93 548 804],[27 86 342],[30 46 179],[30 46 179],[40 456 537],[60 181 309],[32 145 208],[32 145 208],[36 452 525],[36 452 525],[224 369 688],[224 369 688],,,[41 56 73],[41 56 73],[44 108 364],[44 108 364],[45 68 564],[45 68 564],[67 195 398],[67 195 398],,[689 737 785],[689 737 785],,,[136 217 297],[136 217 297],[51 62 110],[51 62 110],[183 202 458],[39 58 186],[39 58 186],[70 75 454],[70 75 443],[124 364 572],[40 72 168],[40 72 168],[64 448 497],[64 448 497],[49 64 432],[79 175 242],,,[354],[147 238 462],[147 238 462],,[66 175 255],[66 175 255],,,[77 84 180],[77 84 180],[118 278 491],[118 278 491],,[27 86 342],,,,,,,[57 584 697],[71 106 199],[71 106 199],[76 117 172],[118 139 219],[357],,,,,[199 570],[297 425 472],[297 425 472],[252 341 428],[134 635 726],[134 635 726],[394 506 535],[394 506 535],[457],,[30 158 227],[30 158 227],[103 106 314],[22 107 534],[22 107 534],[232 281],[232 281],[190 446],,,[60 181 309],,,[66 82 191],[66 82 191],
Points from wins,23.729 [8.889+7.42+7.42],23.729 [8.889+7.42+7.42],26.667 [10+8.889+7.778],20.207 [8.239+6.309+5.659],20.207 [8.239+6.309+5.659],26.667 [10+8.889+7.778],17.445 [7.128+5.77+4.548],17.445 [7.128+5.77+4.548],12.751 [5.888+4.602+2.26],12.751 [5.888+4.602+2.26],20.675 [8.239+6.667+5.77],20.675 [8.239+6.667+5.77],7.944 [4.777+3.167+0],13.265 [5.28+4.84+3.145],13.265 [5.28+4.84+3.145],19.453 [7.128+6.309+6.017],19.453 [7.128+6.309+6.017],19.214 [7.778+6.156+5.28],19.214 [7.778+6.156+5.28],17.088 [6.881+5.659+4.548],17.088 [6.881+5.659+4.548],14.337 [6.156+4.717+3.464],14.337 [6.156+4.717+3.464],17.41 [6.881+5.556+4.974],17.41 [6.881+5.556+4.974],17.17 [6.667+5.458+5.045],17.17 [6.667+5.458+5.045],14.109 [5.458+5.045+3.606],9.814 [4.974+4.84+0],14.607 [5.659+5.12+3.828],14.607 [5.659+5.12+3.828],7.944 [4.777+3.167+0],9.581 [4.444+3.058+2.079],9.581 [4.444+3.058+2.079],10.93 [4.602+3.863+2.465],10.93 [4.602+3.863+2.465],8.122 [4.658+3.464+0],8.29 [4.495+3.794+0],8.29 [4.495+3.794+0],11.364 [4.777+4.047+2.54],4.197 [2.996+1.201+0],4.197 [2.996+1.201+0],10.748 [4.212+3.934+2.602],11.364 [4.777+4.047+2.54],0,0,10.748 [4.212+3.934+2.602],6.269 [3.19+3.079+0],14.109 [5.458+5.045+3.606],13.556 [5.367+4.395+3.794],10.154 [5.659+4.495+0],10.154 [5.659+4.495+0],0,0,7.173 [3.058+2.366+1.749],7.922 [4.256+3.666+0],7.922 [4.256+3.666+0],6.25 [4.974+1.276+0],6.25 [4.974+1.276+0],12.365 [4.717+4.212+3.437],12.365 [4.717+4.212+3.437],,,13.69 [5.367+4.495+3.828],0,9.814 [4.974+4.84+0],2.897 [2.897+0+0],,1.34 [1.34+0+0],9.684 [4.717+3.606+1.361],9.684 [4.717+3.606+1.361],13.69 [5.367+4.495+3.828],1.34 [1.34+0+0],8.122 [4.658+3.464+0],0,11.482 [4.84+3.519+3.122],11.482 [4.84+3.519+3.122],4.775 [3.236+1.539+0],4.775 [3.236+1.539+0],0,5.918 [2.996+1.721+1.201],1.767 [1.767+0+0],1.767 [1.767+0+0],,,,7.095 [3.761+3.333+0],,,3.359 [3.359+0+0],3.359 [3.359+0+0],6.269 [3.19+3.079+0],1.749 [1.749+0+0],1.749 [1.749+0+0],2.21 [2.21+0+0],1.283 [1.283+0+0],1.283 [1.283+0+0],,,3.308 [3.308+0+0],6.617 [4.395+2.222+0],6.617 [4.395+2.222+0],3.26 [3.26+0+0],2.734 [2.734+0+0],2.734 [2.734+0+0],7.576 [4.717+2.86+0],10.095 [4.548+3.863+1.685],10.095 [4.548+3.863+1.685],4.087 [4.087+0+0],5.104 [3.437+1.667+0],7.911 [4.444+2.022+1.444],7.911 [4.444+2.022+1.444],4.256 [4.256+0+0],4.256 [4.256+0+0],1.325 [1.325+0+0],1.325 [1.325+0+0],,,10.717 [4.047+3.547+3.122],10.717 [4.047+3.547+3.122],6.429 [3.934+2.495+0],6.429 [3.934+2.495+0],7.134 [3.898+3.236+0],7.134 [3.898+3.236+0],4.807 [3.26+1.547+0],4.807 [3.26+1.547+0],,0,0,,,3.501 [2.125+1.376+0],3.501 [2.125+1.376+0],9.547 [3.697+3.384+2.465],9.547 [3.697+3.384+2.465],3.14 [1.649+1.491+0],9.242 [4.127+3.491+1.623],9.242 [4.127+3.491+1.623],6.269 [3.19+3.079+0],6.269 [3.19+3.079+0],2.273 [2.273+0+0],9.018 [4.087+3.145+1.786],9.018 [4.087+3.145+1.786],3.333 [3.333+0+0],3.333 [3.333+0+0],7.095 [3.761+3.333+0],5.918 [2.996+1.721+1.201],,,0,3.228 [2+1.228+0],3.228 [2+1.228+0],,6.122 [3.284+1.721+1.117],6.122 [3.284+1.721+1.117],,,7.61 [3.037+2.897+1.676],7.61 [3.037+2.897+1.676],2.353 [2.353+0+0],2.353 [2.353+0+0],,7.576 [4.717+2.86+0],,,,,,,3.519 [3.519+0+0],7.206 [3.167+2.525+1.515],7.206 [3.167+2.525+1.515],7.173 [3.058+2.366+1.749],5.804 [2.353+2.09+1.361],0,,,,,1.515 [1.515+0],0,0,1.136 [1.136+0+0],2.149 [2.149+0+0],2.149 [2.149+0+0],0,0,0,,7.736 [4.548+1.885+1.304],7.736 [4.548+1.885+1.304],5.095 [2.571+2.525+0],7.555 [5.045+2.509+0],7.555 [5.045+2.509+0],1.269 [1.269+0],1.269 [1.269+0],1.589 [1.589+0],,,5.104 [3.437+1.667+0],,,7.801 [3.284+2.936+1.581],7.801 [3.284+2.936+1.581],
Losses (opponent place),[2],[2],[1 1],[1 2],[1 2],[1 1],[4 3],[4 3],[7 2],[7 2],[1 1],[1 1],[9 7],[9 4],[9 4],[1 9],[1 9],[4 5],[4 5],[5 4],[5 4],[5 5],[5 5],[5 3],[5 3],[7 1],[7 1],[7 9],[7 5],[9 3],[9 3],[9 7],[5 2],[5 2],[7 13],[7 13],[9 13],[9 13],[9 13],[4 7],[25 13],[25 13],[2 17],[4 7],[193 129],[193 129],[2 17],[17 9],[7 9],[1 13],[25 17],[25 17],[257 65],[257 65],[25 33],[9 17],[9 17],[17 17],[17 17],[2 13],[2 13],,,[3 17],[25 13],[7 5],[33 5],,[5 9],[17 9],[17 9],[3 17],[5 9],[9 13],[33 17],[4 17],[4 17],[33 9],[33 9],[385 33],[25 13],[25 17],[25 17],,,,[17 17],,,[25 25],[25 25],[25 13],[17 25],[17 25],[33 9],[49 25],[49 25],,,[33 33],[49 1],[49 1],[33 65],[49 25],[49 25],[33 17],[25 25],[25 25],[25 49],[33 13],[97 129],[97 129],[33 49],[33 49],[65 17],[65 17],,,[25 65],[25 65],[17 13],[17 13],[25 9],[25 9],[33 5],[33 5],,[129 193],[129 193],,,[65 33],[65 33],[17 49],[17 49],[49 7],[33 17],[33 17],[17 9],[25 13],[49 17],[17 33],[17 33],[17 1],[17 1],[17 17],[25 13],,,[193 257],[65 65],[65 65],,[25 3],[25 3],,,[9 33],[9 33],[33 65],[33 65],,[33 17],,,,,,,[33 13],[17 33],[17 33],[25 33],[65 13],[257 257],,,,,[97 49],[49 17],[49 17],[49 33],[97 97],[97 97],[49 65],[49 65],[49 65],,[33 25],[33 25],[97 129],[49 17],[49 17],[129 33],[129 33],[97 49],,,[33 13],,,[49 65],[49 65],
Points from losses,16,16,16.2,14.4,14.4,16.2,9.8,9.8,9.6,9.6,16.2,16.2,6,7,7,9,9,8.4,8.4,8.4,8.4,7.2,7.2,8.4,8.4,10.8,10.8,6,7.2,7,7,6,9.6,9.6,6,6,5,5,5,8.4,3.5,3.5,5.6,8.4,0.05,0.05,5.6,3.5,6,9,2.45,2.45,0.05,0.05,0.7,3.5,3.5,2.45,2.45,8,8,,,4.9,3.5,7.2,1.2,,6,3.5,3.5,4.9,6,5,0.7,4.9,4.9,1,1,0.1,3.5,2.45,2.45,,,,2.45,,,2.45,2.45,3.5,2.45,2.45,1,0.7,0.7,,,0.2,1.8,1.8,0.1,0.7,0.7,0.7,2.45,2.45,0.7,1,0.05,0.05,0.2,0.2,0.35,0.35,,,0.35,0.35,3.5,3.5,3.5,3.5,1.2,1.2,,0.05,0.05,,,0.1,0.1,0.7,0.7,1.2,0.7,0.7,3.5,3.5,0.7,0.7,0.7,6.3,6.3,2.45,3.5,,,0.05,0.05,0.05,,4.9,4.9,,,1,1,0.1,0.1,,0.7,,,,,,,1,0.7,0.7,0.7,0.5,0.05,,,,,0.1,0.7,0.7,0.2,0.05,0.05,0.1,0.1,0.1,,0.7,0.7,0.05,0.7,0.7,0.1,0.1,0.1,,,1,,,0.1,0.1,
Base total,149.729,149.729,122.867,104.607,104.607,122.867,77.245,77.245,50.351,50.351,96.875,96.875,33.944,44.265,44.265,78.453,78.453,67.614,67.614,53.488,53.488,49.537,49.537,65.81,65.81,55.97,55.97,44.109,37.014,45.607,45.607,33.944,43.181,43.181,36.93,36.93,33.122,33.29,33.29,39.764,11.697,11.697,32.348,39.764,1.05,1.05,32.348,13.769,44.109,42.556,28.604,28.604,1.05,1.05,11.873,27.422,27.422,24.7,24.7,40.365,40.365,,,34.59,7.5,37.014,8.097,,23.34,29.184,29.184,34.59,23.34,33.122,4.7,32.382,32.382,7.775,7.775,1.1,13.418,8.217,8.217,,,,13.545,,,9.809,9.809,13.769,8.199,8.199,7.21,3.983,3.983,,,5.508,10.417,10.417,5.36,5.434,5.434,12.276,16.545,16.545,6.787,10.104,8.961,8.961,8.456,8.456,2.675,2.675,,,15.067,15.067,13.929,13.929,14.634,14.634,10.007,10.007,,1.05,1.05,,,5.601,5.601,14.247,14.247,6.34,13.942,13.942,13.769,13.769,4.973,13.718,13.718,13.633,13.633,13.545,13.418,,,1.05,5.278,5.278,,13.022,13.022,,,12.61,12.61,6.453,6.453,,12.276,,,,,,,8.519,11.906,11.906,11.873,8.304,1.05,,,,,2.615,2.7,2.7,3.336,3.199,3.199,2.1,2.1,1.1,,10.436,10.436,6.145,10.255,10.255,2.369,2.369,2.689,,,10.104,,,9.901,9.901,
Points after weight (1 => x0.75),112.297,112.297,92.15,78.455,78.455,92.15,57.934,57.934,37.763,37.763,72.656,72.656,25.458,33.199,33.199,58.84,58.84,50.711,50.711,40.116,40.116,37.153,37.153,49.358,49.358,41.978,41.978,33.082,27.76,34.205,34.205,25.458,32.386,32.386,27.698,27.698,24.842,24.967,24.967,29.823,8.773,8.773,24.261,29.823,0.788,0.788,24.261,10.327,33.082,31.917,21.453,21.453,0.788,0.788,8.905,20.566,20.566,18.525,18.525,30.274,30.274,,,25.943,5.625,27.76,6.073,,17.505,21.888,21.888,25.943,17.505,24.842,3.525,24.286,24.286,5.832,5.832,0.825,10.063,6.163,6.163,,,,10.159,,,7.356,7.356,10.327,6.149,6.149,5.407,2.987,2.987,,,4.131,7.813,7.813,4.02,4.076,4.076,9.207,12.409,12.409,5.09,7.578,6.721,6.721,6.342,6.342,2.006,2.006,,,11.3,11.3,10.446,10.446,10.976,10.976,7.505,7.505,,0.788,0.788,,,4.201,4.201,10.685,10.685,4.755,10.456,10.456,10.327,10.327,3.73,10.288,10.288,10.225,10.225,10.159,10.063,,,0.788,3.959,3.959,,9.767,9.767,,,9.458,9.458,4.839,4.839,,9.207,,,,,,,6.389,8.93,8.93,8.905,6.228,0.788,,,,,1.961,2.025,2.025,2.502,2.399,2.399,1.575,1.575,0.825,,7.827,7.827,4.609,7.691,7.691,1.777,1.777,2.017,,,7.578,,,7.426,7.426,
Final points after recency (x0.9985965534886395),112.139,112.139,92.021,78.345,78.345,92.021,57.853,57.853,37.71,37.71,72.554,72.554,25.422,33.152,33.152,58.758,58.758,50.639,50.639,40.059,40.059,37.1,37.1,49.288,49.288,41.919,41.919,33.035,27.722,34.157,34.157,25.422,32.34,32.34,27.659,27.659,24.807,24.932,24.932,29.781,8.76,8.76,24.227,29.781,0.786,0.786,24.227,10.312,33.035,31.872,21.423,21.423,0.786,0.786,8.892,20.537,20.537,18.499,18.499,30.231,30.231,,,25.906,5.617,27.722,6.065,,17.48,21.857,21.857,25.906,17.48,24.807,3.52,24.252,24.252,5.823,5.823,0.824,10.049,6.154,6.154,,,,10.144,,,7.346,7.346,10.312,6.14,6.14,5.4,2.983,2.983,,,4.126,7.802,7.802,4.014,4.07,4.07,9.194,12.392,12.392,5.083,7.567,6.711,6.711,6.333,6.333,2.004,2.004,,,11.284,11.284,10.432,10.432,10.96,10.96,7.495,7.495,,0.786,0.786,,,4.195,4.195,10.67,10.67,4.748,10.442,10.442,10.312,10.312,3.725,10.274,10.274,10.211,10.211,10.144,10.049,,,0.786,3.953,3.953,,9.753,9.753,,,9.444,9.444,4.833,4.833,,9.194,,,,,,,6.38,8.917,8.917,8.892,6.219,0.786,,,,,1.958,2.022,2.022,2.499,2.396,2.396,1.573,1.573,0.824,,7.816,7.816,4.602,7.68,7.68,1.774,1.774,2.014,,,7.567,,,7.415,7.415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Winter Championship 2020 NA 2v2 - 2/29/2020 - 56 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,1,1,2,5,5,13,5,5,3,3,9,9,2,4,4,9,13,9,9,7,7,7,7,13,13,17,17,13,9,17,17,13,17,17,17,17,17,17,17,25,9,9,25,33,13,13,33,65,,,33,33,17,17,25,33,33,33,33,,,17,17,129,25,,25,17,33,65,65,,33,,25,,,25,25,25,33,25,25,25,25,25,33,25,25,33,33,49,65,65,33,33,33,33,33,33,65,65,49,49,49,49,,,65,129,129,129,129,129,49,49,33,33,,,129,129,,,65,65,33,49,49,33,33,97,97,,,65,,,,,65,,,,,,,33,33,49,97,97,33,,,49,49,,,65,65,33,,49,49,49,49,49,49,97,,,,193,97,33,33,49,49,65,97,97,65,65,65,49,49,65,33,,,65,,,97,97,65,65,65,,65,65,,,65
Points from place,110,110,80,50,50,24,50,50,70,70,28,28,80,60,60,28,24,28,28,40,40,40,40,24,24,20,20,24,28,20,20,24,20,20,20,20,20,20,20,16,28,28,16,4,24,24,4,2,,,4,4,20,20,16,4,4,4,4,,,20,20,1,16,,16,20,4,2,2,,4,,16,,,16,16,16,4,16,16,16,16,16,4,16,16,4,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,,,2,1,1,1,1,1,4,4,4,4,,,1,1,,,2,2,4,4,4,4,4,2,2,,,2,,,,,2,,,,,,,4,4,4,2,2,4,,,4,4,,,2,2,4,,4,4,4,4,4,4,2,,,,1,2,4,4,4,4,2,2,2,2,2,2,4,4,2,4,,,2,,,2,2,2,2,2,,2,2,,,2
Wins (opponent seed),[4 9 11],[4 9 11],[3 4 5],[2 9 12],[2 9 12],[27 31 66],[12 13 29],[12 13 29],[3 6 10],[3 6 10],[14 30 62],[14 30 62],[3 4 5],[7 7 15],[7 7 15],[19 24 31],[16 27 28],[2 18 79],[2 18 79],[15 19 22],[15 19 22],[5 14 53],[5 14 53],[18 28 69],[18 28 69],[29 51 142],[29 51 142],[27 31 66],[19 24 31],[20 30 46],[20 30 46],[16 27 28],[27 59 123],[27 59 123],[20 52 141],[20 52 141],[21 27 43],[32 47 66],[32 47 66],[29 52 173],[8 24 216],[8 24 216],[39 74 282],[32 192 193],[6 17 34],[6 17 34],[123 171 214],[55 122 250],,,[96 128 176],[96 128 176],[17 49 113],[17 49 113],[20 36 61],[29 109 276],[29 109 276],[51 67 174],[51 67 174],,,[9 26 40],[9 26 40],[146 239 322],[39 279 343],,[20 36 61],[21 27 43],[21 284 357],[137 248],[137 248],,[63 303 338],,[21 28 108],,,[65 176 273],[65 176 273],[39 279 343],[32 192 193],[69 165 277],[69 165 277],[32 96 272],[32 96 272],[21 28 108],[72 137 217],[39 74 282],[29 52 173],[55 279 330],[55 279 330],[83 307 334],[36 84 132],[36 84 132],[123 171 214],[9 136 216],[9 136 216],[21 44 172],[21 44 172],[102 150 230],[70 134 267],[70 134 267],[54 86 166],[41 88 297],[41 88 297],[256 288 353],,,[60 117 188],[119 138],[121 169 249],[121 169 249],[28 181],[28 181],[49 81 161],[49 81 161],[30 62 83],[30 62 83],,,[358],[358],,,[204 332],[204 332],[72 137 217],[59 91 107],[59 91 107],[20 228 356],[20 228 356],[42 87 346],[42 87 346],,,[75 187 251],,,,,[77 180 196],,,,,,,[63 191 255],[63 191 255],[71 87 170],[102 107 278],[102 107 278],[102 150 230],,,[34 127 175],[34 127 175],,,[173 180 269],[173 180 269],[21 284 357],,[79 98 159],[79 98 159],[71 87 170],[93 196 324],[93 196 324],[54 86 166],[202 327],,,,[221],[44 85 165],[58 170 295],[58 170 295],[53 133 197],[53 133 197],[78 142 179],[104 185 200],[104 185 200],[75 187 251],[82 175 226],[82 175 226],[188 316 364],[188 316 364],[113 129 192],[63 303 338],,,[223 351],,,[125 141 253],[125 141 253],[130 178 194],[120 121 136],[120 121 136],,[88 105 152],[88 105 152],,,[113 129 192]
