Player,baileyyyy,Drip God,Goddess,Shadoww,Rite,Kylar Alice,baka,Lust,ShadowFish,CL3M,Skits,YaKnow,Claxy,Cheeseface,tommysama,Zechten,Smash,TiltedTaco,Kircix,V1TAL,Allora,prodbyanh,cayzdaddy,Rhodes,Mike,Rebonk,Batman,ItzSantosh,KunningKoala,enimateK,Dummy,Peace,Shifu,Toxic_Lance_Main,Medi_Ev1L,Dooblakek,fatlonzo,Trankwillity,AquarianNemesis,Beerus,Quickshot,T-Reqt,fantee720,jason,geometryshanes,Lichgo,Very Very Fast Goat,Midnight,lezly,swifty pete,Purpzz,Elbox,AbruptPuppet,Dough?,azrael,riv,xUzBrodie-,Erqia,x2jod_,SUCH4TRYH4RD3R-,XtraSmurf07,Prince,El'Dracque,WILS0,CHAN0,Bread,DON,Phy,KnGNaff,Chef Goldblum,814221655,Hoomy,Fortune,Mark_ov,nick_guez12,JWC_ACE,Zinic,toro,Envy,CorinWrong,Meng-Kun,John,Mouse,Panda,Str1k3r,Rajesh,churmokopono,EzB4mboo,Zer0Mark,SK1LLSTR3AK,IL BASTARDO,mclov3n,Aramusha6034,Kailunatuna,MethJr,YOLOxSWEGx420,Pitohui__x,LUISCA,(               ),Iuculia,StupidDash,hazza,Stadt,SleepyTactics,kaecien,zRABIIT,sadboybent,Xxnyc Buu,L0m,Alchemy,brendanhh,Wunulla,Akcleggs,Mokai,Dxquan_xi,AGENTNUKFUT,Dr RedNed06,ximinii,Knifey,GDBlaze,energetic099jump,PurpleDemon,Dezpair-_-Stiffy,Dezpair-_-Hersh,Toumany_75,Rubbish,garbo,EpicWonton,JuniorSaturn923,GesuNeroo,DressMold79,NexRE55108,Beegy_middleton,Bomb,blackwolf_eg,Ebrahim_Mohamed,PokeFanatics,ShiBroke,PootsOfficial,Milkyxd,Kosmic,brotato chip 79,Lauden viisions,Zacstrom,mayoplays,Festive,DeWitt,LILSHarpe310,snrGhost767,Eldog,ElMuchacho,Pokepig96,xmanthrealprohere,Veblosskogrst,Morgsrandall,CoZmic_LACHY,ErasableTigga,ErasableMonkey,Cleggy,Wolfeh,Rj Dude,Mpward55s,Slinkz
Brawlhalla Spring Championship 2020 AUS 2v2 - 4/18/2020 - 7 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,1,1,3,3,2,2,4,4,5,5,7,7,9,9,9,9,7,7,9,9,5,5,25,25,25,17,17,25,25,25,25,49,49,49,49,9,33,33,9,,,,33,13,13,13,13,13,13,13,13,,,,49,49,33,17,17,,,17,17,17,17,65,17,17,,,17,17,,,17,17,17,17,,25,25,33,33,,,25,25,25,25,65,65,65,25,25,,,,,,,,25,49,33,33,33,33,,33,33,33,33,33,33,,,,33,65,65,33,33,33,33,33,49,49,33,33,49,49,65,,,,,33,49,49,33,33,,,,,,,49,49,49,49,49,49,49,49,49,49,49,,,49,49,
Points from place,110,110,70,70,80,80,60,60,50,50,40,40,28,28,28,28,40,40,28,28,50,50,16,16,16,20,20,16,16,16,16,4,4,4,4,28,4,4,28,,,,4,24,24,24,24,24,24,24,24,,,,4,4,4,20,20,,,20,20,20,20,2,20,20,,,20,20,,,20,20,20,20,,16,16,4,4,,,16,16,16,16,2,2,2,16,16,,,,,,,,16,4,4,4,4,4,,4,4,4,4,4,4,,,,4,2,2,4,4,4,4,4,4,4,4,4,4,4,2,,,,,4,4,4,4,4,,,,,,,4,4,4,4,4,4,4,4,4,4,4,,,4,4,
Wins (opponent seed),[2 3 3],[2 3 3],[4 7 8],[4 7 8],[1 2 11],[1 2 11],[5 13 20],[5 13 20],[9 14 25],[9 14 25],[10 16 23],[10 16 23],[12 28 60],[12 28 60],[15 21 22],[15 21 22],[5 6 19],[5 6 19],[9 22 48],[6 11 43],[7 11 12],[7 11 12],[31 47 95],[53 85],[53 85],[29 109],[29 109],[23 26 39],[23 26 39],[47 66],[31 47 95],[25],[25],[103],[103],[6 11 43],[54],[54],[9 22 48],,,,[83 110],[13 23 24],[13 23 24],[10 19 20],[10 19 20],[9 24 29],[9 24 29],[17 27 27],[17 27 27],,,,[63 82],[63 82],[16 49],[31 32 64],[31 32 64],,,[18 31 50],[18 31 50],[11 28 38],[11 28 38],[84],[24 26 41],[24 26 41],,,[21 28 85],[21 28 85],,,[23 42 74],[23 42 74],[19 52 61],[19 52 61],,[20 52 61],[20 52 61],[9 57 105],[9 57 105],,,[10 26 42],[10 26 42],[19 30 67],[19 30 67],[81],[81],[87],[21 28 53],[21 28 53],,,,,,,,[47 66],[57 105],[16 64 97],[16 64 97],[30 35],[30 35],,[21 60 76],[21 60 76],[63 82 98],[63 82 98],[29 36],[27 43 54],,,,[16 49],[99],[99],[10 55],[10 55],[34 98],[34 98],[20 45],[62 110],[62 110],[39 103],[39 103],[49 97],[49 97],[92],,,,,[83 110],[75 91],[75 91],[72 104],[72 104],,,,,,,[31 50],[31 50],[76 101],[76 101],[59 86],[59 86],[57 105],[55 90],[55 90],[36],[36],,,[45],[45],
Points from wins,25.367 [8.889+8.239+8.239],25.367 [8.889+8.239+8.239],21.325 [7.778+6.881+6.667],21.325 [7.778+6.881+6.667],25.045 [10+8.889+6.156],25.045 [10+8.889+6.156],18.506 [7.42+5.888+5.198],18.506 [7.42+5.888+5.198],17.088 [6.478+5.77+4.84],17.088 [6.478+5.77+4.84],16.838 [6.309+5.556+4.974],16.838 [6.309+5.556+4.974],14.112 [6.017+4.658+3.437],14.112 [6.017+4.658+3.437],15.824 [5.659+5.12+5.045],15.824 [5.659+5.12+5.045],19.828 [7.42+7.128+5.28],19.828 [7.42+7.128+5.28],15.317 [6.478+5.045+3.794],17.255 [7.128+6.156+3.971],19.054 [6.881+6.156+6.017],19.054 [6.881+6.156+6.017],11.024 [4.495+3.828+2.7],6.514 [3.636+2.878],6.514 [3.636+2.878],7.082 [4.602+2.48],7.082 [4.602+2.48],13.878 [4.974+4.777+4.127],13.878 [4.974+4.777+4.127],7.112 [3.828+3.284],11.024 [4.495+3.828+2.7],4.84,4.84,2.571,2.571,17.255 [7.128+6.156+3.971],3.606,3.606,15.317 [6.478+5.045+3.794],,,,5.382 [2.917+2.465],15.768 [5.888+4.974+4.906],15.768 [5.888+4.974+4.906],16.787 [6.309+5.28+5.198],16.787 [6.309+5.28+5.198],15.986 [6.478+4.906+4.602],15.986 [6.478+4.906+4.602],14.892 [5.458+4.717+4.717],14.892 [5.458+4.717+4.717],,,,6.295 [3.359+2.936],6.295 [3.359+2.936],9.317 [5.556+3.761],12.273 [4.495+4.444+3.333],12.273 [4.495+4.444+3.333],,,13.591 [5.367+4.495+3.729],13.591 [5.367+4.495+3.729],14.984 [6.156+4.658+4.169],14.984 [6.156+4.658+4.169],2.897,13.73 [4.906+4.777+4.047],13.73 [4.906+4.777+4.047],,,12.657 [5.12+4.658+2.878],12.657 [5.12+4.658+2.878],,,12.083 [4.974+4.009+3.101],12.083 [4.974+4.009+3.101],12.357 [5.28+3.666+3.41],12.357 [5.28+3.666+3.41],,12.274 [5.198+3.666+3.41],12.274 [5.198+3.666+3.41],12.537 [6.478+3.519+2.54],12.537 [6.478+3.519+2.54],,,15.095 [6.309+4.777+4.009],15.095 [6.309+4.777+4.009],13.088 [5.28+4.548+3.26],13.088 [5.28+4.548+3.26],2.956,2.956,2.841,13.414 [5.12+4.658+3.636],13.414 [5.12+4.658+3.636],,,,,,,,7.112 [3.828+3.284],6.059 [3.519+2.54],11.556 [5.556+3.333+2.667],11.556 [5.556+3.333+2.667],8.849 [4.548+4.301],8.849 [4.548+4.301],,11.614 [5.12+3.437+3.058],11.614 [5.12+3.437+3.058],8.945 [3.359+2.936+2.65],8.945 [3.359+2.936+2.65],8.858 [4.602+4.256],12.293 [4.717+3.971+3.606],,,,9.317 [5.556+3.761],2.634,2.634,9.885 [6.309+3.576],9.885 [6.309+3.576],6.998 [4.347+2.65],6.998 [4.347+2.65],9.096 [5.198+3.898],5.849 [3.384+2.465],5.849 [3.384+2.465],6.698 [4.127+2.571],6.698 [4.127+2.571],6.428 [3.761+2.667],6.428 [3.761+2.667],2.752,,,,,5.382 [2.917+2.465],5.848 [3.079+2.769],5.848 [3.079+2.769],5.7 [3.145+2.555],5.7 [3.145+2.555],,,,,,,8.224 [4.495+3.729],8.224 [4.495+3.729],5.66 [3.058+2.602],5.66 [3.058+2.602],6.323 [3.464+2.86],6.323 [3.464+2.86],6.059 [3.519+2.54],6.363 [3.576+2.787],6.363 [3.576+2.787],4.256,4.256,,,3.898,3.898,
Losses (opponent place),[2],[2],[1 2],[1 2],[1 1],[1 1],[3 1],[3 1],[3 1],[3 1],[5 3],[5 3],[7 4],[7 4],[13 5],[13 5],[5 2],[5 2],[7 1],[5 2],[1 4],[1 4],[17 17],[17 9],[17 9],[13 4],[13 4],[7 13],[7 13],[17 5],[17 17],[33 13],[33 13],[25 33],[25 33],[5 2],[9 17],[9 17],[7 1],,,,[7 25],[5 5],[5 5],[7 9],[7 9],[9 5],[9 5],[7 9],[7 9],,,,[25 25],[25 25],[9 17],[1 13],[1 13],,,[9 3],[9 3],[9 9],[9 9],[25 33],[13 7],[13 7],,,[5 9],[5 9],,,[13 7],[13 7],[13 17],[13 17],,[13 4],[13 4],[13 17],[13 17],,,[25 17],[25 17],[13 17],[13 17],[9 49],[9 49],[17 25],[17 17],[17 17],,,,,,,,[17 5],[33 5],[5 5],[5 5],[2 13],[2 13],,[25 17],[25 17],[25 3],[25 3],[4 17],[9 49],,,,[9 17],[33 25],[33 25],[17 25],[17 25],[3 25],[3 25],[17 25],[25 2],[25 2],[7 25],[7 25],[17 5],[17 5],[49 33],,,,,[7 25],[17 13],[17 13],[17 13],[17 13],,,,,,,[33 33],[33 33],[25 25],[25 25],[33 9],[33 9],[33 5],[25 33],[25 33],[25 17],[25 17],,,[17 25],[17 25],
Points from losses,16,16,14.4,14.4,16.2,16.2,12.6,12.6,12.6,12.6,8.4,8.4,8.4,8.4,6,6,9.6,9.6,10.8,9.6,12.6,12.6,2.45,3.5,3.5,7,7,6,6,4.2,2.45,1,1,0.7,0.7,9.6,3.5,3.5,10.8,,,,4.2,7.2,7.2,6,6,6,6,6,6,,,,2.45,2.45,3.5,9,9,,,7,7,5,5,0.7,6,6,,,6,6,,,6,6,3.5,3.5,,7,7,3.5,3.5,,,2.45,2.45,3.5,3.5,1,1,2.45,2.45,2.45,,,,,,,,4.2,1.2,7.2,7.2,8,8,,2.45,2.45,4.9,4.9,4.9,1,,,,3.5,0.7,0.7,2.45,2.45,4.9,4.9,2.45,5.6,5.6,4.2,4.2,4.2,4.2,0.2,,,,,4.2,3.5,3.5,3.5,3.5,,,,,,,0.2,0.2,2.45,2.45,1,1,1.2,0.7,0.7,2.45,2.45,,,2.45,2.45,
Base total,151.367,151.367,105.725,105.725,121.245,121.245,91.106,91.106,79.688,79.688,65.238,65.238,50.512,50.512,49.824,49.824,69.428,69.428,54.117,54.855,81.654,81.654,29.474,26.014,26.014,34.082,34.082,35.878,35.878,27.312,29.474,9.84,9.84,7.271,7.271,54.855,11.106,11.106,54.117,,,,13.582,46.968,46.968,46.787,46.787,45.986,45.986,44.892,44.892,,,,12.745,12.745,16.817,41.273,41.273,,,40.591,40.591,39.984,39.984,5.597,39.73,39.73,,,38.657,38.657,,,38.083,38.083,35.857,35.857,,35.274,35.274,20.037,20.037,,,33.545,33.545,32.588,32.588,5.956,5.956,7.291,31.864,31.864,,,,,,,,27.312,11.259,22.756,22.756,20.849,20.849,,18.064,18.064,17.845,17.845,17.758,17.293,,,,16.817,5.334,5.334,16.335,16.335,15.898,15.898,15.546,15.449,15.449,14.898,14.898,14.628,14.628,4.952,,,,,13.582,13.348,13.348,13.2,13.2,,,,,,,12.424,12.424,12.11,12.11,11.323,11.323,11.259,11.063,11.063,10.706,10.706,,,10.348,10.348,
Points after weight (1 => x0.75),113.525,113.525,79.294,79.294,90.934,90.934,68.33,68.33,59.766,59.766,48.929,48.929,37.884,37.884,37.368,37.368,52.071,52.071,40.588,41.141,61.24,61.24,22.105,19.511,19.511,25.562,25.562,26.909,26.909,20.484,22.105,7.38,7.38,5.453,5.453,41.141,8.329,8.329,40.588,,,,10.186,35.226,35.226,35.09,35.09,34.489,34.489,33.669,33.669,,,,9.558,9.558,12.613,30.955,30.955,,,30.443,30.443,29.988,29.988,4.198,29.798,29.798,,,28.992,28.992,,,28.562,28.562,26.892,26.892,,26.456,26.456,15.027,15.027,,,25.159,25.159,24.441,24.441,4.467,4.467,5.468,23.898,23.898,,,,,,,,20.484,8.444,17.067,17.067,15.637,15.637,,13.548,13.548,13.384,13.384,13.318,12.97,,,,12.613,4.001,4.001,12.251,12.251,11.923,11.923,11.659,11.587,11.587,11.173,11.173,10.971,10.971,3.714,,,,,10.186,10.011,10.011,9.9,9.9,,,,,,,9.318,9.318,9.082,9.082,8.493,8.493,8.444,8.297,8.297,8.029,8.029,,,7.761,7.761,
Final points after recency (x0.9985965534886395),113.366,113.366,79.183,79.183,90.806,90.806,68.234,68.234,59.682,59.682,48.86,48.86,37.831,37.831,37.315,37.315,51.998,51.998,40.531,41.083,61.154,61.154,22.074,19.483,19.483,25.526,25.526,26.871,26.871,20.455,22.074,7.37,7.37,5.445,5.445,41.083,8.318,8.318,40.531,,,,10.172,35.176,35.176,35.041,35.041,34.441,34.441,33.622,33.622,,,,9.545,9.545,12.595,30.911,30.911,,,30.401,30.401,29.946,29.946,4.192,29.756,29.756,,,28.952,28.952,,,28.522,28.522,26.855,26.855,,26.419,26.419,15.006,15.006,,,25.123,25.123,24.407,24.407,4.461,4.461,5.461,23.864,23.864,,,,,,,,20.455,8.432,17.043,17.043,15.615,15.615,,13.529,13.529,13.365,13.365,13.3,12.952,,,,12.595,3.995,3.995,12.234,12.234,11.906,11.906,11.643,11.571,11.571,11.158,11.158,10.956,10.956,3.708,,,,,10.172,9.997,9.997,9.886,9.886,,,,,,,9.305,9.305,9.07,9.07,8.481,8.481,8.432,8.286,8.286,8.018,8.018,,,7.75,7.75,
