Player,baileyyyy,Drip God,Goddess,Shadoww,Rite,Kylar Alice,baka,Lust,ShadowFish,CL3M,Skits,YaKnow,Claxy,Cheeseface,tommysama,Zechten,Smash,TiltedTaco,Kircix,V1TAL,Allora,prodbyanh,cayzdaddy,Rhodes,Mike,Rebonk,Batman,ItzSantosh,KunningKoala,enimateK,Dummy,Peace,Shifu,Toxic_Lance_Main,Medi_Ev1L,Dooblakek,fatlonzo,Trankwillity,AquarianNemesis,Beerus,Quickshot,T-Reqt,fantee720,jason,geometryshanes,Lichgo,Very Very Fast Goat,Midnight,lezly,swifty pete,Purpzz,Elbox,AbruptPuppet,Dough?,azrael,riv,xUzBrodie-,Erqia,x2jod_,SUCH4TRYH4RD3R-,XtraSmurf07,Prince,El'Dracque,WILS0,CHAN0,Bread,DON,Phy,KnGNaff,Chef Goldblum,814221655,Hoomy,Fortune,Mark_ov,nick_guez12,JWC_ACE,Zinic,toro,Envy,CorinWrong,Meng-Kun,John,Mouse,Panda,Str1k3r,Rajesh,churmokopono,EzB4mboo,Zer0Mark,SK1LLSTR3AK,IL BASTARDO,mclov3n,Aramusha6034,Kailunatuna,MethJr,YOLOxSWEGx420,Pitohui__x,LUISCA,(               ),Iuculia,StupidDash,hazza,Stadt,SleepyTactics,kaecien,zRABIIT,sadboybent,Xxnyc Buu,L0m,Alchemy,brendanhh,Wunulla,Akcleggs,Mokai,Dxquan_xi,AGENTNUKFUT,Dr RedNed06,ximinii,Knifey,GDBlaze,energetic099jump,PurpleDemon,Dezpair-_-Stiffy,Dezpair-_-Hersh,Toumany_75,Rubbish,garbo,EpicWonton,JuniorSaturn923,GesuNeroo,DressMold79,NexRE55108,Beegy_middleton,Bomb,blackwolf_eg,Ebrahim_Mohamed,PokeFanatics,ShiBroke,PootsOfficial,Milkyxd,Kosmic,brotato chip 79,Lauden viisions,Zacstrom,mayoplays,Festive,DeWitt,LILSHarpe310,snrGhost767,Eldog,ElMuchacho,Pokepig96,xmanthrealprohere,Veblosskogrst,Morgsrandall,CoZmic_LACHY,ErasableTigga,ErasableMonkey,Cleggy,Wolfeh,Rj Dude,Mpward55s,Slinkz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Winter Championship 2020 AUS 2v2 - 2/29/2020 - 56 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,1,1,2,2,3,3,4,4,7,7,7,7,5,5,5,5,17,17,13,25,,,9,13,13,17,17,25,25,17,,9,9,9,9,,13,13,,9,9,9,17,,,,,,,,,13,13,13,25,25,25,,,17,17,,,,,17,,,17,17,,,17,17,,,,,17,,,33,33,17,17,,,,,25,25,25,,,25,25,25,25,25,25,25,,33,,,,,33,,,,,,,33,33,33,,33,33,,,,,,,,,,,,33,33,33,33,33,,,,,,33,33,33,33,33,33,,,,,,,,,,,,33,33,,,33
Points from place,110,110,80,80,70,70,60,60,40,40,40,40,50,50,50,50,20,20,24,16,,,28,24,24,20,20,16,16,20,,28,28,28,28,,24,24,,28,28,28,20,,,,,,,,,24,24,24,16,16,16,,,20,20,,,,,20,,,20,20,,,20,20,,,,,20,,,4,4,20,20,,,,,16,16,16,,,16,16,16,16,16,16,16,,4,,,,,4,,,,,,,4,4,4,,4,4,,,,,,,,,,,,4,4,4,4,4,,,,,,4,4,4,4,4,4,,,,,,,,,,,,4,4,,,4
Wins (opponent seed),[1 7 7],[1 7 7],[1 2 4],[1 2 4],[5 9 16],[5 9 16],[11 13 14],[11 13 14],[11 18 27],[11 18 27],[9 18 20],[9 18 20],[3 6 19],[3 6 19],[4 12 28],[4 12 28],[17 49],[17 49],[20 23 52],[39 55],,,[8 24 56],[3 24 26],[3 24 26],[23 42],[23 42],[30 46],[30 46],[31 33 48],,[8 16 28],[8 16 28],[12 13 32],[12 13 32],,[19 24 25],[19 24 25],,[17 22 24],[17 22 24],[8 24 56],[21 44],,,,,,,,,[10 29 30],[10 29 30],[20 23 52],[33 49],[33 49],[53 60],,,[3 30 67],[3 30 67],,,,,[25 55 71],,,[21 38 54],[21 38 54],,,[29 30 46],[29 30 46],,,,,[31 33 48],,,[41 73],[41 73],[25 55 71],[21 44],,,,,[40 56],[40 56],[53 60],,,[39 55],[29 52 61],[29 52 61],[28 44],[28 44],[34 47],[34 47],,[53 69],,,,,[36 61],,,,,,,[38 70],[39 58],[39 58],,[43],[43],,,,,,,,,,,,[65],[3],[3],[50 66],[50 66],,,,,,[51 67],[51 67],[36],[36],[41],[41],,,,,,,,,,,,[63],[63],,,[58]
Points from wins,23.761 [10+6.881+6.881],23.761 [10+6.881+6.881],26.667 [10+8.889+7.778],26.667 [10+8.889+7.778],19.453 [7.42+6.478+5.556],19.453 [7.42+6.478+5.556],17.814 [6.156+5.888+5.77],17.814 [6.156+5.888+5.77],16.24 [6.156+5.367+4.717],16.24 [6.156+5.367+4.717],17.042 [6.478+5.367+5.198],17.042 [6.478+5.367+5.198],20.647 [8.239+7.128+5.28],20.647 [8.239+7.128+5.28],18.453 [7.778+6.017+4.658],18.453 [7.778+6.017+4.658],9.22 [5.458+3.761],9.22 [5.458+3.761],13.838 [5.198+4.974+3.666],7.704 [4.127+3.576],,,15.12 [6.667+4.906+3.547],17.922 [8.239+4.906+4.777],17.922 [8.239+4.906+4.777],8.982 [4.974+4.009],8.982 [4.974+4.009],8.411 [4.548+3.863],8.411 [4.548+3.863],12.685 [4.495+4.395+3.794],,16.881 [6.667+5.556+4.658],16.881 [6.667+5.556+4.658],16.35 [6.017+5.888+4.444],16.35 [6.017+5.888+4.444],,15.026 [5.28+4.906+4.84],15.026 [5.28+4.906+4.84],,15.409 [5.458+5.045+4.906],15.409 [5.458+5.045+4.906],15.12 [6.667+4.906+3.547],9.054 [5.12+3.934],,,,,,,,,15.459 [6.309+4.602+4.548],15.459 [6.309+4.602+4.548],13.838 [5.198+4.974+3.666],8.157 [4.395+3.761],8.157 [4.395+3.761],7.072 [3.636+3.437],,,16.047 [8.239+4.548+3.26],16.047 [8.239+4.548+3.26],,,,,11.583 [4.84+3.576+3.167],,,12.894 [5.12+4.169+3.606],12.894 [5.12+4.169+3.606],,,13.013 [4.602+4.548+3.863],13.013 [4.602+4.548+3.863],,,,,12.685 [4.495+4.395+3.794],,,7.17 [4.047+3.122],7.17 [4.047+3.122],11.583 [4.84+3.576+3.167],9.054 [5.12+3.934],,,,,7.634 [4.087+3.547],7.634 [4.087+3.547],7.072 [3.636+3.437],,,7.704 [4.127+3.576],11.679 [4.602+3.666+3.41],11.679 [4.602+3.666+3.41],8.592 [4.658+3.934],8.592 [4.658+3.934],8.175 [4.347+3.828],8.175 [4.347+3.828],,6.848 [3.636+3.213],,,,,7.666 [4.256+3.41],,,,,,,7.359 [4.169+3.19],7.618 [4.127+3.491],7.618 [4.127+3.491],,3.971,3.971,,,,,,,,,,,,3.308,8.239,8.239,7.013 [3.729+3.284],7.013 [3.729+3.284],,,,,,6.957 [3.697+3.26],6.957 [3.697+3.26],4.256,4.256,4.047,4.047,,,,,,,,,,,,3.359,3.359,,,3.491
Losses (opponent place),[2],[2],[1 1],[1 1],[2 1],[2 1],[5 2],[5 2],[5 2],[5 2],[1 4],[1 4],[4 1],[4 1],[2 3],[2 3],[9 3],[9 3],[9 4],[2 13],,,[7 3],[13 9],[13 9],[13 2],[13 2],[17 13],[17 13],[17 9],,[9 2],[9 2],[7 7],[7 7],,[9 9],[9 9],,[7 4],[7 4],[7 3],[9 5],,,,,,,,,[13 7],[13 7],[9 4],[3 9],[3 9],[17 17],,,[13 5],[13 5],,,,,[17 13],,,[7 7],[7 7],,,[5 13],[5 13],,,,,[17 9],,,[25 9],[25 9],[17 13],[9 5],,,,,[13 17],[13 17],[17 17],,,[2 13],[13 17],[13 17],[5 9],[5 9],[1 17],[1 17],,[17 25],,,,,[13 4],,,,,,,[9 7],[17 2],[17 2],,[17 9],[17 9],,,,,,,,,,,,[25 17],[17 25],[17 25],[25 9],[25 9],,,,,,[25 17],[25 17],[25 4],[25 4],[13 9],[13 9],,,,,,,,,,,,[9 25],[9 25],,,[17 25]
Points from losses,16,16,16.2,16.2,14.4,14.4,9.6,9.6,9.6,9.6,12.6,12.6,12.6,12.6,11.2,11.2,7,7,7,8,,,8.4,5,5,8,8,3.5,3.5,3.5,,8,8,7.2,7.2,,5,5,,8.4,8.4,8.4,6,,,,,,,,,6,6,7,7,7,2.45,,,6,6,,,,,3.5,,,7.2,7.2,,,6,6,,,,,3.5,,,3.5,3.5,3.5,6,,,,,3.5,3.5,2.45,,,8,3.5,3.5,6,6,6.3,6.3,,2.45,,,,,7,,,,,,,6,5.6,5.6,,3.5,3.5,,,,,,,,,,,,2.45,2.45,2.45,3.5,3.5,,,,,,2.45,2.45,4.9,4.9,5,5,,,,,,,,,,,,3.5,3.5,,,2.45
Base total,149.761,149.761,122.867,122.867,103.853,103.853,87.414,87.414,65.84,65.84,69.642,69.642,83.247,83.247,79.653,79.653,36.22,36.22,44.838,31.704,,,51.52,46.922,46.922,36.982,36.982,27.911,27.911,36.185,,52.881,52.881,51.55,51.55,,44.026,44.026,,51.809,51.809,51.52,35.054,,,,,,,,,45.459,45.459,44.838,31.157,31.157,25.522,,,42.047,42.047,,,,,35.083,,,40.094,40.094,,,39.013,39.013,,,,,36.185,,,14.67,14.67,35.083,35.054,,,,,27.134,27.134,25.522,,,31.704,31.179,31.179,30.592,30.592,30.475,30.475,,13.298,,,,,18.666,,,,,,,17.359,17.218,17.218,,11.471,11.471,,,,,,,,,,,,9.758,14.689,14.689,14.513,14.513,,,,,,13.407,13.407,13.156,13.156,13.047,13.047,,,,,,,,,,,,10.859,10.859,,,9.941
Points after weight (1 => x0.75),112.321,112.321,92.15,92.15,77.89,77.89,65.561,65.561,49.38,49.38,52.232,52.232,62.435,62.435,59.74,59.74,27.165,27.165,33.628,23.778,,,38.64,35.191,35.191,27.737,27.737,20.933,20.933,27.139,,39.661,39.661,38.662,38.662,,33.019,33.019,,38.857,38.857,38.64,26.29,,,,,,,,,34.094,34.094,33.628,23.367,23.367,19.142,,,31.535,31.535,,,,,26.313,,,30.071,30.071,,,29.26,29.26,,,,,27.139,,,11.002,11.002,26.313,26.29,,,,,20.351,20.351,19.142,,,23.778,23.384,23.384,22.944,22.944,22.857,22.857,,9.974,,,,,13.999,,,,,,,13.019,12.914,12.914,,8.603,8.603,,,,,,,,,,,,7.319,11.017,11.017,10.885,10.885,,,,,,10.055,10.055,9.867,9.867,9.785,9.785,,,,,,,,,,,,8.144,8.144,,,7.456
Final points after recency (x0.9763903354925452),109.669,109.669,89.974,89.974,76.051,76.051,64.013,64.013,48.214,48.214,50.999,50.999,60.961,60.961,58.329,58.329,26.524,26.524,32.834,23.216,,,37.727,34.361,34.361,27.082,27.082,20.439,20.439,26.498,,38.724,38.724,37.749,37.749,,32.24,32.24,,37.939,37.939,37.727,25.67,,,,,,,,,33.289,33.289,32.834,22.816,22.816,18.69,,,30.791,30.791,,,,,25.691,,,29.361,29.361,,,28.569,28.569,,,,,26.498,,,10.742,10.742,25.691,25.67,,,,,19.87,19.87,18.69,,,23.216,22.832,22.832,22.403,22.403,22.317,22.317,,9.738,,,,,13.669,,,,,,,12.712,12.609,12.609,,8.4,8.4,,,,,,,,,,,,7.146,10.757,10.757,10.628,10.628,,,,,,9.818,9.818,9.634,9.634,9.554,9.554,,,,,,,,,,,,7.952,7.952,,,7.28
