Player,Legit,DB,Power Ranger,Fiend,Wesley,B A L T A Z Z A R,StarDeath,Steve,Lopes,wrath,QwerTy,t r i c c,Rec,Atsushi,Gxx,Naza,gabrielwe33,Pajé,will,Lazuli,SSJ | Brollyyy,Emperor,104Z,Vecinaa,Ailzo '-',Nipersy,Monexo,kaio bolinha,NEW SAC,Jesper,Chazar,ShiniMidori,Sayan,j3king,DRT-Reaper-_-Black,LX,Okami,Guga,Rayzigher,KnG-_Nauu234,nchmrtnz,Neuz,Ender,VITOR SHANG,JuniorMoraes13,UchihaSasuke,bionico,Bruxo,¥ | Zé do Queijo,Myoto,Flalles,Klaus,Hunter,Thaiph,Oziek,Striker,doritera,Juangana,Shishio,Cimuh,Zaphkiel,Tekvasz,DRT-V3M_T4NQUIL0,Joakoooo,V3M_T4NQUiLO,Dnmm,Monn.,Vy,manodavis,Brook (2),Kiritin,01N,Fox,DNA,Neeko,Hawk,Itachi,SL,Smith,SrKill,Renato429,Themandiga,Alfajorcito,deportador 111,BreguiFremi,KnG-_lauty_-,JxxD,Metsu,zero (2),MaxiS92K,Mr. Topson,RodrigoOlabiaga,Daobiar,sup3rbi3l,procuro um duo,LorKy,Losbitoo,Catto Unreal,Bocudo,serretti,space3588,Dot,Cookie (2),fgabrielnu,Tekilavale,KNJ,JereGamer24,Proof21,Hypnos,Yaksa,El Fachipiola,Guido,Etizzes,LCSCEREALKILLER,Killer,Remedial,zAlyssumL,Josse2585,Aiden,BallOwOn,LVC,Major,Death??,Asaausky,ImRuby,Termi,França,DMN,Kioi,SteelMel,MaTuTeAF,Lucas Clavel,BOO,Leite,Davi,Maxxx,Penanicolasp3,FLaMeR vL,BielSSD,LLG_Diniz,Noenri,SnowSans (2),Easythingsz,zZVitorSilvaZz,Anden,Sipk.,Lampo,Clof,Tote,KnG-_facu,Makoto,Lordeto,Pandory,Caio,ralsei,DOUG,Dexterrr,Kyna,Hyãn,Henrī,RillWayne br,LIL' Darkz,Nisan,JuanDesay1,Joaquin1967,Gux,Mari_011,Icczy,Ren,Erick,smpvini,RaFinhAxhx,Leøayner,Yatin,King Juaum,AngelOfDeath,JackFireDark,emi,Zhakne,Bia,Yushiro :3,MONSE,tomasitochulo,Danol,Veiloko,Derek,Lain,Suarez,Flay,Kbeludox,Starmaster1,Pedroncio (2),Castor,scout,Knight,DDBKross,Piova,ismot,N sou lolicon,Hami,Revenger Beast,rosebr_,P.V player,Luffy,WraFh,Drikzo_,Jisuqlo,Giorno,~ Sanford ~,_20Matar,VenomKillRAER,pão doce,float,crow (2),Pepino,antedeguemon,Positiv,uAmatsuMikaboshi
Brawlhalla Spring Championship 2020 SA 2v2 - 4/19/2020 - 6 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,3,3,1,2,1,2,5,7,5,4,4,13,13,5,9,9,7,5,9,9,13,13,9,13,25,25,25,25,7,,17,17,17,17,17,17,17,25,7,9,9,17,17,25,17,9,97,,,,13,13,17,13,,,33,17,,,25,97,17,17,,17,17,65,65,25,33,,,25,49,,,25,,,49,49,,,33,33,25,25,,,,33,33,25,25,,33,49,,,25,25,33,49,49,49,129,33,33,33,33,33,49,,,33,33,49,49,33,33,,,49,49,49,33,33,,33,33,,,33,33,33,,33,33,,33,,,,,65,65,49,49,33,49,49,49,33,33,,,,,,49,49,,,49,49,65,65,65,65,49,49,33,65,65,65,65,49,49,,,,,,,,,,,,,49,49,,,65,65,65,65,49,49,65,65,,,97,97,49,49,,65,,,,,65,65,65
Points from place,70,70,110,80,110,80,50,40,50,60,60,24,24,50,28,28,40,50,28,28,24,24,28,24,16,16,16,16,40,,20,20,20,20,20,20,20,16,40,28,28,20,20,16,20,28,2,,,,24,24,20,24,,,4,20,,,16,2,20,20,,20,20,2,2,16,4,,,16,4,,,16,,,4,4,,,4,4,16,16,,,,4,4,16,16,,4,4,,,16,16,4,4,4,4,1,4,4,4,4,4,4,,,4,4,4,4,4,4,,,4,4,4,4,4,,4,4,,,4,4,4,,4,4,,4,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,4,4,,,4,4,2,2,2,2,4,4,4,2,2,2,2,4,4,,,,,,,,,,,,,4,4,,,2,2,2,2,4,4,2,2,,,2,2,4,4,,2,,,,,2,2,2
Wins (opponent seed),[3 6 8],[3 6 8],[1 1 2],[4 6 10],[1 1 2],[4 6 10],[12 14 19],[5 11 14],[12 14 19],[3 7 11],[3 7 11],[16 22 117],[16 22 117],[8 17 20],[9 25 57],[9 25 57],[9 10 28],[8 17 20],[7 23 55],[7 23 55],[15 27 140],[15 27 140],[13 21 32],[20 25 148],[139 150 203],[146 146 210],[121 137 201],[121 137 201],[5 11 14],,[18 50 114],[18 50 114],[22 43 150],[30 116 116],[30 116 116],[17 113 177],[17 113 177],[139 150 203],[9 10 28],[12 28 28],[12 28 28],[18 32 80],[18 32 80],[31 98 127],[22 43 150],[13 21 32],[163],,,,[14 19 26],[14 19 26],[24 24 41],[20 25 148],,,[33 97],[24 26 90],,,[91 118 134],[163],[24 24 41],[24 26 90],,[23 25 89],[23 25 89],[63 66],[63 66],[146 146 210],[47 50 66],,,[31 98 127],[30 83 211],,,[91 118 134],,,[53 76 124],[53 76 124],,,[141 148 164],[86 107 139],[46 51 126],[46 51 126],,,,[23 122 151],[23 122 151],[26 103 138],[26 103 138],,[73 121 152],[45 109 132],,,[36 77 125],[36 77 125],[33 65 81],[49 80 193],[49 80 193],[55 87 135],[84],[47 50 66],[60 60 69],[60 60 69],[67 94 179],[67 94 179],[45 109 132],,,[30 94 99],[30 94 99],[27 38 43],[27 38 43],[29 100],[29 100],,,[30 83 211],[25 40 41],[25 40 41],[42 87 106],[42 87 106],,[38 155 166],[38 155 166],,,[33 97],[24 57 88],[24 57 88],,[63 79 111],[63 79 111],,[73 121 152],,,,,[14 78 99],[14 78 99],[49 65 193],[49 65 193],[86 107 139],[55 87 135],[59 75 118],[59 75 118],[28 92 181],[28 92 181],,,,,,[68 100 109],[68 100 109],,,[47 82 207],[47 82 207],[58 71],[58 71],[31 34 178],[31 34 178],[35 147 163],[35 147 163],[141 148 164],[44 69 133],[44 69 133],[110 131 211],[110 131 211],[37 149 172],[37 149 172],,,,,,,,,,,,,[72 137 200],[72 137 200],,,[45 173],[45 173],[54 75],[54 75],[98 114 178],[98 114 178],[53 117 165],[53 117 165],,,[29 52],[29 52],[135 154],[135 154],,[61 68],,,,,[83 110 195],[83 110 195],[64 129 145]
Points from wins,22.033 [8.239+7.128+6.667],22.033 [8.239+7.128+6.667],28.889 [10+10+8.889],21.215 [7.778+7.128+6.309],28.889 [10+10+8.889],21.215 [7.778+7.128+6.309],17.066 [6.017+5.77+5.28],19.346 [7.42+6.156+5.77],17.066 [6.017+5.77+5.28],21.276 [8.239+6.881+6.156],21.276 [8.239+6.881+6.156],12.967 [5.556+5.045+2.366],12.967 [5.556+5.045+2.366],17.323 [6.667+5.458+5.198],14.837 [6.478+4.84+3.519],14.837 [6.478+4.84+3.519],17.445 [6.478+6.309+4.658],17.323 [6.667+5.458+5.198],15.431 [6.881+4.974+3.576],15.431 [6.881+4.974+3.576],12.454 [5.659+4.717+2.079],12.454 [5.659+4.717+2.079],15.452 [5.888+5.12+4.444],12.028 [5.198+4.84+1.989],5.541 [2.09+1.968+1.483],5.451 [2.011+2.011+1.429],5.925 [2.312+2.113+1.499],5.925 [2.312+2.113+1.499],19.346 [7.42+6.156+5.77],,11.504 [5.367+3.729+2.408],11.504 [5.367+3.729+2.408],10.984 [5.045+3.971+1.968],9.308 [4.548+2.38+2.38],9.308 [4.548+2.38+2.38],9.583 [5.458+2.422+1.703],9.583 [5.458+2.422+1.703],5.541 [2.09+1.968+1.483],17.445 [6.478+6.309+4.658],15.334 [6.017+4.658+4.658],15.334 [6.017+4.658+4.658],12.787 [5.367+4.444+2.976],12.787 [5.367+4.444+2.976],9.38 [4.495+2.65+2.235],10.984 [5.045+3.971+1.968],15.452 [5.888+5.12+4.444],1.835,,,,15.827 [5.77+5.28+4.777],15.827 [5.77+5.28+4.777],13.858 [4.906+4.906+4.047],12.028 [5.198+4.84+1.989],,,7.062 [4.395+2.667],12.47 [4.906+4.777+2.787],,,7.271 [2.769+2.353+2.149],1.835,13.858 [4.906+4.906+4.047],12.47 [4.906+4.777+2.787],,12.619 [4.974+4.84+2.805],12.619 [4.974+4.84+2.805],6.643 [3.359+3.284],6.643 [3.359+3.284],5.451 [2.011+2.011+1.429],10.841 [3.828+3.729+3.284],,,9.38 [4.495+2.65+2.235],8.886 [4.548+2.917+1.421],,,7.271 [2.769+2.353+2.149],,,8.967 [3.636+3.058+2.273],8.967 [3.636+3.058+2.273],,,5.882 [2.067+1.989+1.825],7.459 [2.86+2.509+2.09],9.807 [3.863+3.697+2.247],9.807 [3.863+3.697+2.247],,,,9.23 [4.974+2.299+1.957],9.23 [4.974+2.299+1.957],9.449 [4.777+2.571+2.102],9.449 [4.777+2.571+2.102],,7.382 [3.122+2.312+1.947],8.551 [3.898+2.48+2.173],,,9.553 [4.256+3.037+2.26],9.553 [4.256+3.037+2.26],10.659 [4.395+3.308+2.956],8.301 [3.761+2.976+1.564],8.301 [3.761+2.976+1.564],8.554 [3.576+2.841+2.137],2.897,10.841 [3.828+3.729+3.284],10.086 [3.437+3.437+3.213],10.086 [3.437+3.437+3.213],7.662 [3.26+2.717+1.685],7.662 [3.26+2.717+1.685],8.551 [3.898+2.48+2.173],,,9.899 [4.548+2.717+2.634],9.899 [4.548+2.717+2.634],12.857 [4.717+4.169+3.971],12.857 [4.717+4.169+3.971],7.22 [4.602+2.618],7.22 [4.602+2.618],,,8.886 [4.548+2.917+1.421],12.974 [4.84+4.087+4.047],12.974 [4.84+4.087+4.047],9.374 [4.009+2.841+2.525],9.374 [4.009+2.841+2.525],,7.89 [4.169+1.915+1.806],7.89 [4.169+1.915+1.806],,,7.062 [4.395+2.667],11.247 [4.906+3.519+2.823],11.247 [4.906+3.519+2.823],,8.805 [3.359+2.996+2.451],8.805 [3.359+2.996+2.451],,7.382 [3.122+2.312+1.947],,,,,11.42 [5.77+3.016+2.634],11.42 [5.77+3.016+2.634],8.634 [3.761+3.308+1.564],8.634 [3.761+3.308+1.564],7.459 [2.86+2.509+2.09],8.554 [3.576+2.841+2.137],8.895 [3.464+3.079+2.353],8.895 [3.464+3.079+2.353],9.077 [4.658+2.752+1.667],9.077 [4.658+2.752+1.667],,,,,,8.334 [3.236+2.618+2.48],8.334 [3.236+2.618+2.48],,,8.216 [3.828+2.936+1.452],8.216 [3.828+2.936+1.452],6.658 [3.491+3.167],6.658 [3.491+3.167],10.536 [4.495+4.347+1.694],10.536 [4.495+4.347+1.694],8.136 [4.301+2+1.835],8.136 [4.301+2+1.835],5.882 [2.067+1.989+1.825],9.308 [3.934+3.213+2.161],9.308 [3.934+3.213+2.161],6.071 [2.465+2.185+1.421],6.071 [2.465+2.185+1.421],7.939 [4.212+1.979+1.749],7.939 [4.212+1.979+1.749],,,,,,,,,,,,,6.765 [3.145+2.113+1.507],6.765 [3.145+2.113+1.507],,,5.637 [3.898+1.739],5.637 [3.898+1.739],6.685 [3.606+3.079],6.685 [3.606+3.079],6.752 [2.65+2.408+1.694],6.752 [2.65+2.408+1.694],7.817 [3.636+2.366+1.815],7.817 [3.636+2.366+1.815],,,8.268 [4.602+3.666],8.268 [4.602+3.666],4.063 [2.137+1.926],4.063 [2.137+1.926],,6.646 [3.41+3.236],,,,,6.929 [2.917+2.465+1.547],6.929 [2.917+2.465+1.547],7.565 [3.333+2.21+2.022]
Losses (opponent place),[1 1],[1 1],[2],[1 1],[2],[1 1],[3 4],[17 5],[3 4],[3 2],[3 2],[9 7],[9 7],[4 9],[5 3],[5 3],[13 5],[4 9],[7 2],[7 2],[9 5],[9 5],[5 9],[9 1],[17 13],[17 17],[17 17],[17 17],[17 5],,[13 2],[13 2],[7 4],[5 13],[5 13],[13 3],[13 3],[17 13],[13 5],[7 1],[7 1],[7 9],[7 9],[2 7],[7 4],[5 9],[65 13],,,,[7 5],[7 5],[7 9],[9 1],,,[17 3],[5 13],,,[4 13],[65 13],[7 9],[5 13],,[9 13],[9 13],[49 2],[49 2],[17 17],[25 2],,,[2 7],[25 7],,,[4 13],,,[33 13],[33 13],,,[17 17],[25 17],[13 17],[13 17],,,,[17 33],[17 33],[9 17],[9 17],,[17 9],[25 1],,,[7 33],[7 33],[7 7],[17 17],[17 17],[33 5],[49 65],[25 2],[13 13],[13 13],[7 5],[7 5],[25 1],,,[25 5],[25 5],[25 49],[25 49],[25 1],[25 1],,,[25 7],[33 97],[33 97],[25 9],[25 9],,[25 4],[25 4],,,[17 3],[25 33],[25 33],,[25 25],[25 25],,[17 9],,,,,[33 25],[33 25],[33 3],[33 3],[25 17],[33 5],[33 25],[33 25],[13 65],[13 65],,,,,,[33 13],[33 13],,,[33 25],[33 25],[25 5],[25 5],[49 65],[49 65],[33 33],[33 33],[17 17],[49 13],[49 13],[25 5],[25 5],[33 33],[33 33],,,,,,,,,,,,,[33 9],[33 9],,,[25 13],[25 13],[25 25],[25 25],[33 65],[33 65],[33 13],[33 13],,,[25 97],[25 97],[25 17],[25 17],,[33 1],,,,,[49 7],[49 7],[49 49]
Points from losses,16.2,16.2,16,16.2,16,16.2,9.8,4.2,9.8,11.2,11.2,6,6,7,8.4,8.4,6,7,9.6,9.6,6,6,6,9,3.5,2.45,2.45,2.45,4.2,,8,8,8.4,6,6,7,7,3.5,6,10.8,10.8,6,6,9.6,8.4,6,0.5,,,,7.2,7.2,6,9,,,4.9,6,,,7,0.5,6,6,,5,5,1.6,1.6,2.45,5.6,,,9.6,4.2,,,7,,,1,1,,,2.45,2.45,3.5,3.5,,,,0.7,0.7,3.5,3.5,,3.5,6.3,,,1.2,1.2,7.2,2.45,2.45,1.2,0.1,5.6,5,5,7.2,7.2,6.3,,,4.2,4.2,0.7,0.7,6.3,6.3,,,4.2,0.1,0.1,3.5,3.5,,4.9,4.9,,,4.9,0.7,0.7,,2.45,2.45,,3.5,,,,,0.7,0.7,1.4,1.4,2.45,1.2,0.7,0.7,0.5,0.5,,,,,,1,1,,,0.7,0.7,4.2,4.2,0.1,0.1,0.2,0.2,2.45,1,1,4.2,4.2,0.2,0.2,,,,,,,,,,,,,1,1,,,3.5,3.5,2.45,2.45,0.1,0.1,1,1,,,0.35,0.35,2.45,2.45,,1.8,,,,,1.2,1.2,0.2
Base total,108.233,108.233,154.889,117.415,154.889,117.415,76.866,63.546,76.866,92.476,92.476,42.967,42.967,74.323,51.237,51.237,63.445,74.323,53.031,53.031,42.454,42.454,49.452,45.028,25.041,23.901,24.375,24.375,63.546,,39.504,39.504,39.384,35.308,35.308,36.583,36.583,25.041,63.445,54.134,54.134,38.787,38.787,34.98,39.384,49.452,4.335,,,,47.027,47.027,39.858,45.028,,,15.962,38.47,,,30.271,4.335,39.858,38.47,,37.619,37.619,10.243,10.243,23.901,20.441,,,34.98,17.086,,,30.271,,,13.967,13.967,,,12.332,13.909,29.307,29.307,,,,13.93,13.93,28.949,28.949,,14.882,18.851,,,26.753,26.753,21.859,14.751,14.751,13.754,3.997,20.441,19.086,19.086,18.862,18.862,18.851,,,18.099,18.099,17.557,17.557,17.52,17.52,,,17.086,17.074,17.074,16.874,16.874,,16.79,16.79,,,15.962,15.947,15.947,,15.255,15.255,,14.882,,,,,14.12,14.12,14.034,14.034,13.909,13.754,13.595,13.595,13.577,13.577,,,,,,13.334,13.334,,,12.916,12.916,12.858,12.858,12.636,12.636,12.336,12.336,12.332,12.308,12.308,12.271,12.271,12.139,12.139,,,,,,,,,,,,,11.765,11.765,,,11.137,11.137,11.135,11.135,10.852,10.852,10.817,10.817,,,10.618,10.618,10.513,10.513,,10.446,,,,,10.129,10.129,9.765
Points after weight (1 => x0.75),81.175,81.175,116.167,88.061,116.167,88.061,57.65,47.659,57.65,69.357,69.357,32.225,32.225,55.742,38.428,38.428,47.584,55.742,39.773,39.773,31.841,31.841,37.089,33.771,18.781,17.926,18.281,18.281,47.659,,29.628,29.628,29.538,26.481,26.481,27.437,27.437,18.781,47.584,40.6,40.6,29.09,29.09,26.235,29.538,37.089,3.251,,,,35.27,35.27,29.894,33.771,,,11.971,28.852,,,22.703,3.251,29.894,28.852,,28.214,28.214,7.682,7.682,17.926,15.331,,,26.235,12.814,,,22.703,,,10.475,10.475,,,9.249,10.432,21.981,21.981,,,,10.448,10.448,21.712,21.712,,11.161,14.138,,,20.065,20.065,16.394,11.063,11.063,10.316,2.998,15.331,14.315,14.315,14.146,14.146,14.138,,,13.574,13.574,13.167,13.167,13.14,13.14,,,12.814,12.806,12.806,12.656,12.656,,12.592,12.592,,,11.971,11.961,11.961,,11.441,11.441,,11.161,,,,,10.59,10.59,10.525,10.525,10.432,10.316,10.197,10.197,10.183,10.183,,,,,,10,10,,,9.687,9.687,9.644,9.644,9.477,9.477,9.252,9.252,9.249,9.231,9.231,9.203,9.203,9.104,9.104,,,,,,,,,,,,,8.823,8.823,,,8.353,8.353,8.351,8.351,8.139,8.139,8.113,8.113,,,7.964,7.964,7.884,7.884,,7.835,,,,,7.597,7.597,7.324
Final points after recency (x0.9988136348222946),81.079,81.079,116.029,87.956,116.029,87.956,57.581,47.603,57.581,69.275,69.275,32.187,32.187,55.676,38.382,38.382,47.528,55.676,39.726,39.726,31.803,31.803,37.045,33.731,18.758,17.905,18.259,18.259,47.603,,29.593,29.593,29.503,26.45,26.45,27.405,27.405,18.758,47.528,40.552,40.552,29.056,29.056,26.204,29.503,37.045,3.247,,,,35.228,35.228,29.858,33.731,,,11.957,28.818,,,22.676,3.247,29.858,28.818,,28.181,28.181,7.673,7.673,17.905,15.313,,,26.204,12.799,,,22.676,,,10.463,10.463,,,9.238,10.42,21.955,21.955,,,,10.435,10.435,21.686,21.686,,11.148,14.121,,,20.041,20.041,16.375,11.05,11.05,10.303,2.995,15.313,14.298,14.298,14.129,14.129,14.121,,,13.558,13.558,13.152,13.152,13.125,13.125,,,12.799,12.79,12.79,12.641,12.641,,12.577,12.577,,,11.957,11.946,11.946,,11.428,11.428,,11.148,,,,,10.577,10.577,10.513,10.513,10.42,10.303,10.184,10.184,10.171,10.171,,,,,,9.989,9.989,,,9.675,9.675,9.632,9.632,9.466,9.466,9.241,9.241,9.238,9.22,9.22,9.193,9.193,9.093,9.093,,,,,,,,,,,,,8.813,8.813,,,8.343,8.343,8.341,8.341,8.129,8.129,8.103,8.103,,,7.954,7.954,7.875,7.875,,7.826,,,,,7.588,7.588,7.315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Winter Championship 2020 SA 2v2 - 3/1/2020 - 55 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,1,1,4,2,5,3,2,3,4,7,7,5,5,13,7,7,9,25,13,13,9,9,17,17,9,9,9,9,33,5,17,17,17,17,17,17,17,17,,,,33,33,33,49,,13,13,13,9,,,65,,13,13,25,65,17,17,49,17,,,17,,,25,25,33,33,17,17,,33,25,25,,25,25,33,33,25,25,33,49,,,25,25,25,33,33,,,25,33,49,25,25,,,,65,65,65,33,,,,,,,33,33,,,,,,,33,33,,,,,,33,,,33,33,,,,49,,,33,,33,33,33,33,,,,,,,,,,,49,49,33,33,33,,,49,49,,,,,,,,,,,,,,,,49,49,49,49,49,49,33,33,49,49,49,49,,,49,49,,,,,,,,,49,49,,,,,49,,49,49,49,49,,,
Points from place,110,110,60,80,50,70,80,70,60,40,40,50,50,24,40,40,28,16,24,24,28,28,20,20,28,28,28,28,4,50,20,20,20,20,20,20,20,20,,,,4,4,4,4,,24,24,24,28,,,2,,24,24,16,2,20,20,4,20,,,20,,,16,16,4,4,20,20,,4,16,16,,16,16,4,4,16,16,4,4,,,16,16,16,4,4,,,16,4,4,16,16,,,,2,2,2,4,,,,,,,4,4,,,,,,,4,4,,,,,,4,,,4,4,,,,4,,,4,,4,4,4,4,,,,,,,,,,,4,4,4,4,4,,,4,4,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,,,4,4,,,,,,,,,4,4,,,,,4,,4,4,4,4,,,
Wins (opponent seed),[1 1 3],[1 1 3],[9 10 14],[2 3 6],[4 11 15],[6 10 14],[2 3 6],[6 10 14],[9 10 14],[2 8 15],[2 8 15],[4 11 15],[7 15 23],[12 15 32],[13 19 24],[13 19 24],[16 25 29],[32 33],[17 28 48],[17 28 48],[18 25 29],[18 25 29],[21 53],[21 53],[4 20 52],[4 20 52],[8 24 56],[8 24 56],[50],[7 15 23],[23 71 90],[23 71 90],[19 52 93],[24 25 26],[23 25 40],[22 54],[22 54],[24 25 26],,,,[61 84 100],[61 84 100],[33 97],[75 102],,[12 15 32],[11 17 18],[11 17 18],[16 25 29],,,[88],,[7 20 30],[7 20 30],[28 76 85],[101],[21 27 54],[21 27 54],[51 94],[22 37 53],,,[23 25 40],,,[43 86 107],[43 86 107],[64 80 96],[41 73 104],[19 52 93],[22 37 53],,[35 99],[23 42 55],[23 42 55],,[30 67 83],[30 67 83],[68 77 93],[68 77 93],[32 48 80],[32 48 80],[35 99],[7 106],,,[45 109 109],[45 109 109],[32 33],[26 106],[26 106],,,[28 76 85],[64 80 96],[63],[42 58 71],[42 58 71],,,,[55],[55],[69],[7 58],,,,,,,[35 62 110],[35 62 110],,,,,,,[28 92],[28 92],,,,,,[41 73 104],,,[7 58],[33 97],,,,[7 106],,,[72 73 104],,[75 86 91],[75 86 91],[27 70 107],[27 70 107],,,,,,,,,,,[65 81],[65 81],[50],[79 82 95],[79 82 95],,,[24 57],[24 57],,,,,,,,,,,,,,,,[29 77],[29 77],[47 66],[47 66],[76 92],[76 92],[28 85],[28 85],[43 59],[43 59],[74 103],[74 103],,,[65 81],[65 81],,,,,,,,,[57 88],[57 88],,,,,[78 94],,[60 108],[60 108],[51 94],[75 102],,,
Points from wins,28.239 [10+10+8.239],28.239 [10+10+8.239],18.556 [6.478+6.309+5.77],24.256 [8.889+8.239+7.128],19.593 [7.778+6.156+5.659],19.206 [7.128+6.309+5.77],24.256 [8.889+8.239+7.128],19.206 [7.128+6.309+5.77],18.556 [6.478+6.309+5.77],21.215 [8.889+6.667+5.659],21.215 [8.889+6.667+5.659],19.593 [7.778+6.156+5.659],17.514 [6.881+5.659+4.974],16.12 [6.017+5.659+4.444],16.074 [5.888+5.28+4.906],16.074 [5.888+5.28+4.906],14.998 [5.556+4.84+4.602],8.84 [4.444+4.395],13.911 [5.458+4.658+3.794],13.911 [5.458+4.658+3.794],14.809 [5.367+4.84+4.602],14.809 [5.367+4.84+4.602],8.755 [5.12+3.636],8.755 [5.12+3.636],16.642 [7.778+5.198+3.666],16.642 [7.778+5.198+3.666],15.12 [6.667+4.906+3.547],15.12 [6.667+4.906+3.547],3.729,17.514 [6.881+5.659+4.974],10.928 [4.974+3.167+2.787],10.928 [4.974+3.167+2.787],11.681 [5.28+3.666+2.734],14.523 [4.906+4.84+4.777],13.901 [4.974+4.84+4.087],8.651 [5.045+3.606],8.651 [5.045+3.606],14.523 [4.906+4.84+4.777],,,,8.926 [3.41+2.897+2.618],8.926 [3.41+2.897+2.618],7.062 [4.395+2.667],5.665 [3.079+2.586],,16.12 [6.017+5.659+4.444],16.981 [6.156+5.458+5.367],16.981 [6.156+5.458+5.367],14.998 [5.556+4.84+4.602],,,2.823,,16.626 [6.881+5.198+4.548],16.626 [6.881+5.198+4.548],10.595 [4.658+3.058+2.878],2.602,13.442 [5.12+4.717+3.606],13.442 [5.12+4.717+3.606],6.414 [3.697+2.717],12.892 [5.045+4.212+3.636],,,13.901 [4.974+4.84+4.087],,,9.34 [3.971+2.86+2.509],9.34 [3.971+2.86+2.509],8.992 [3.333+2.976+2.683],9.725 [4.047+3.122+2.555],11.681 [5.28+3.666+2.734],12.892 [5.045+4.212+3.636],,6.935 [4.301+2.634],12.559 [4.974+4.009+3.576],12.559 [4.974+4.009+3.576],,10.724 [4.548+3.26+2.917],10.724 [4.548+3.26+2.917],9.007 [3.236+3.037+2.734],9.007 [3.236+3.037+2.734],11.215 [4.444+3.794+2.976],11.215 [4.444+3.794+2.976],6.935 [4.301+2.634],9.405 [6.881+2.525],,,8.858 [3.898+2.48+2.48],8.858 [3.898+2.48+2.48],8.84 [4.444+4.395],7.302 [4.777+2.525],7.302 [4.777+2.525],,,10.595 [4.658+3.058+2.878],8.992 [3.333+2.976+2.683],3.359,10.667 [4.009+3.491+3.167],10.667 [4.009+3.491+3.167],,,,3.576,3.576,3.213,10.372 [6.881+3.491],,,,,,,10.15 [4.301+3.384+2.465],10.15 [4.301+3.384+2.465],,,,,,,7.41 [4.658+2.752],7.41 [4.658+2.752],,,,,,9.725 [4.047+3.122+2.555],,,10.372 [6.881+3.491],7.062 [4.395+2.667],,,,9.405 [6.881+2.525],,,8.822 [3.145+3.122+2.555],,8.708 [3.079+2.86+2.769],8.708 [3.079+2.86+2.769],10.416 [4.717+3.19+2.509],10.416 [4.717+3.19+2.509],,,,,,,,,,,6.264 [3.308+2.956],6.264 [3.308+2.956],3.729,8.632 [2.996+2.936+2.7],8.632 [2.996+2.936+2.7],,,8.425 [4.906+3.519],8.425 [4.906+3.519],,,,,,,,,,,,,,,,7.639 [4.602+3.037],7.639 [4.602+3.037],7.112 [3.828+3.284],7.112 [3.828+3.284],5.809 [3.058+2.752],5.809 [3.058+2.752],7.537 [4.658+2.878],7.537 [4.658+2.878],7.435 [3.971+3.464],7.435 [3.971+3.464],5.671 [3.101+2.571],5.671 [3.101+2.571],,,6.264 [3.308+2.956],6.264 [3.308+2.956],,,,,,,,,6.342 [3.519+2.823],6.342 [3.519+2.823],,,,,5.733 [3.016+2.717],,5.931 [3.437+2.495],5.931 [3.437+2.495],6.414 [3.697+2.717],5.665 [3.079+2.586],,,
