Player,Sandstorm,Cosolix,Cody Travis,Pugsyxd,wrenchd,Ethan,Santy,STING RAY,Boomie,Remmy,Impala,Phazon,ithrowow,Blaizzy,T1FF4NY,STTP Wilson,Crockie,Pier,noeL,Khui,Tasty,Blood Diamond,wbz,DoubleDime,Kyzer,Simba,Zexis,Isidroo,Contrast,Lil Capped,Ming,hardymj,Winged_Shell,Serenade,Avon,Megdyy,Kevstah,Snowy,Magma,Grizzy,Shoe,Synco,Sand_Wic,Matt,Killua,daze,JakeyBoyCoffman,WHITETOWN,Ryo,Baboute,Ultra,Luverz,iLLu,Ghost,Zacoi,Georgegd18,Zinquer,ImLlama,SnipedSox,nick,chuyqwerty,Jolly,Super Ukodo,Buu,Espejo,Silent_cannibal4 (2),bazzball,Manswer,Mother Russia,Matt (2),Pawapow,Achilles,gabe.,EatHam,Zabz,Casey,FeebleStar,hazN,AdamBoom TWD,ISFL | Beast,Stimpy,Fishy,HVLC,Parallel,AcidicAlien,Van Thurl,Super521,Snow,CreamyDuck,exo,A_Dre,Dakauri,Shadow0q12,MrCrspyy,Mac!,TelekineticCheez,ZEEKO,Cobwhy,Mommiimode,Walshy,elaG,Loki,Son (2),Stevenator,Raiden_Rippley,Burrito Voorhees,XimpleVengence,Cloud,Remus,adamkool178,Echo,swiff,Not Deion,High,Dew (2),Blackout,Bread (2),Tenshu,D3adShots11,Techables,Bous,Soren,M0RQU3,Seb.,Velo_citY | Brian,Glue,Touch,poot,WorstFps,MentalMinotaur,Esssay,bacon_,Righteousness,Tobi (2),LegoManHair,minivanguard,Starno,MendoTelos,I_AM_DIRT,RealEli,c0nn0r_88,iOhennyOi,Vooper,as4p,TaroSLush,Law47,Slickck,TyaTheOlive,TrackNation,Cam (2),HD SONIC999,Tendo,HD darklight,Avictd_,Stqnky,forever_jealous,Toxic_Language,juanralvarezt,SusanooDeath,Retro,sanicdotexe321YT,Egocentrismic,Voltsaber,Red_Akashi,gavinleath,Parka,DjPlays,MisterPizarro,zWitchblades,JDiggity22,Jaiden,Luna,RyXin,Cornbread,Trigga_fn,A11enTennySun,Spooky,turkey300,Lightskinuchiha,MidNite,Camyce,Jams,Mr-Cat23,BbyShibe,KF,Barlaxy,OGmaid,KDUB133231,Ron Williams,ThatOneDingo
Place,1,3,2,17,4,9,5,1025,9,7,7,9,17,5,17,17,17,17,13,13,13,25,9,25,17,13,25,33,25,33,129,25,33,65,49,17,25,25,49,25,1025,33,33,33,33,1537,65,49,33,33,33,65,49,49,49,65,65,49,1537,1537,33,33,65,33,65,257,65,33,1025,1025,49,49,2049,33,129,49,33,65,129,,97,97,65,49,129,49,1025,769,65,769,49,49,65,769,1025,65,49,,193,1537,193,49,,65,1025,129,257,129,769,193,1025,513,65,385,129,,97,257,257,129,257,65,,,1025,65,257,97,65,,385,769,,97,,,257,1025,,193,65,65,65,97,,129,2049,,193,65,97,97,1025,65,65,97,97,513,,1025,,129,769,65,65,385,,2049,193,65,769,97,257,,,97,129,769,257,513,65,385,,,769,513,65,513,257,2049
Points from place,110,70,80,20,60,28,50,1,28,40,40,28,20,50,20,20,20,20,24,24,24,16,28,16,20,24,16,4,16,4,1,16,4,2,4,20,16,16,4,16,1,4,4,4,4,1,2,4,4,4,4,2,4,4,4,2,2,4,1,1,4,4,2,4,2,1,2,4,1,1,4,4,1,4,1,4,4,2,1,,2,2,2,4,1,4,1,1,2,1,4,4,2,1,1,2,4,,1,1,1,4,,2,1,1,1,1,1,1,1,1,2,1,1,,2,1,1,1,1,2,,,1,2,1,2,2,,1,1,,2,,,1,1,,1,2,2,2,2,,1,1,,1,2,2,2,1,2,2,2,2,1,,1,,1,1,2,2,1,,1,1,2,1,2,1,,,2,1,1,1,1,2,1,,,1,1,2,1,1,1
Wins (opponent seed),[4 7 7],[4 10 11],[6 6 10],[31 63 127],[5 36 45],[20 24 38],[8 13 21],[2040],[12 28 60],[2 3 15],[3 5 17],[24 40 57],[22 54 139],[14 18 19],[19 36 52],[49 50 64],[25 39 41],[17 49 113],[15 21 53],[11 32 48],[16 22 27],[14 84 98],[12 13 20],[43 53 107],[9 41 105],[2 28 43],[37 81 92],[51 115 270],[33 34 481],[51 72 110],[101 220 2012],[31 64 110],[83 89 104],[224 352 1057],[90 117 474],[25 55 108],[29 36 113],[23 67 88],[124 810 1111],[9 42 74],[2009],[86 96 121],[50 69 92],[48 80 99],[44 76 103],[2730],[112 984 1321],[60 69 106],[63 95 116],[34 159 543],[39 58 84],[123 126 446],[126 560 2001],[47 60 125],[33 75 115],[91 483 739],[119 591 1999],[52 90 159],[2691],[1391],[29 87 324],[37 60 79],[329 969 2104],[56 504 521],[71 127 511],[454 966 1990],[79 591 946],[30 62 73],[1992],[1998],[27 80 120],[57 83 107],[1598],[59 80 105],[1340 1989 2620],[66 109 127],[42 407 663],[75 438 843],[172 1452 1964],,[91 91 2139],[189 516 573],[59 70 198],[54 104 352],[402 914 1938],[67 88 830],[1973],[906 1975],[36 101 228],[1149 1981],[56 94 411],[51 97 462],[77 181 1164],[167 1178 2215],[1995],[85 148 404],[85 122 981],,[113 336 848],[2808],[211 1619 1966],[100 114 868],,[65 72 1913],[1906],[98 354 1890],[132 381 1405],[78 115 179],[1145 1977],[589 948 2125],[1791 2114 2815],[548 1572],[89 96 224],[433 1808 1969],[643 1918 2435],,[64 129 384],[9 440 1208],[118 2166 3190],[292 477 989],[431 1967 2991],[57 328 569],,,[1991],[78 139 310],[103 1127 1639],[37 229 796],[76 116 372],,[23 151 855],[1968 3184],,[81 401 880],,,[160 545 992],[1965],,[9 696 824],[70 131 643],[128 328 392],[77 180 1332],[180 589 756],,[77 500 756],[2935],,[197 837 1980],[210 722 850],[85 149 1685],[94 291 478],[1929],[74 399 1138],[99 926 1438],[76 181 268],[955 1979 2438],[54 1078 3126],,[1630 2275],,[73 120 376],[73 120 3145],[82 215 407],[95 538 666],[600 792 1112],,[3033],[194 258 1794],[68 645 1925],[27 1062 2086],[65 385 1409],[157 356 1181],,,[152 1944 2409],[898 1410 1666],[57 1032 2056],[23 490 1047],[1489 1584],[122 1735 1978],[68 196 957],,,[1416 1465],[158 163 1374],[111 234 426],[52 525 1485],[27 998 1051],[2869]
Points from wins,21.539 [7.778+6.881+6.881],20.243 [7.778+6.309+6.156],20.565 [7.128+7.128+6.309],10.089 [4.495+3.359+2.235],15.574 [7.42+4.256+3.898],14.272 [5.198+4.906+4.169],17.675 [6.667+5.888+5.12],0,14.112 [6.017+4.658+3.437],22.787 [8.889+8.239+5.659],21.117 [8.239+7.42+5.458],12.511 [4.906+4.087+3.519],10.741 [5.045+3.606+2.09],16.416 [5.77+5.367+5.28],13.202 [5.28+4.256+3.666],10.824 [3.761+3.729+3.333],13.015 [4.84+4.127+4.047],11.642 [5.458+3.761+2.422],14.414 [5.659+5.12+3.636],14.395 [6.156+4.444+3.794],15.317 [5.556+5.045+4.717],11.317 [5.77+2.897+2.65],17.103 [6.017+5.888+5.198],10.116 [3.971+3.636+2.509],13.065 [6.478+4.047+2.54],17.518 [8.889+4.658+3.971],9.919 [4.212+2.956+2.752],6.091 [3.697+2.394+0],8.742 [4.395+4.347+0],9.307 [3.697+3.145+2.465],3.956 [2.602+1.354+0],10.294 [4.495+3.333+2.465],8.276 [2.917+2.805+2.555],1.325 [1.325+0+0],5.153 [2.787+2.366+0],10.911 [4.84+3.576+2.495],11.28 [4.602+4.256+2.422],11.057 [4.974+3.26+2.823],2.273 [2.273+0+0],13.587 [6.478+4.009+3.101],0,7.855 [2.86+2.683+2.312],9.693 [3.729+3.213+2.752],9.404 [3.794+2.976+2.634],9.562 [3.934+3.058+2.571],0,2.436 [2.436+0+0],9.174 [3.437+3.213+2.525],8.439 [3.359+2.7+2.38],6.222 [4.347+1.875+0],10.516 [4.127+3.491+2.897],4.534 [2.286+2.247+0],2.247 [2.247+0+0],9.525 [3.828+3.437+2.26],9.868 [4.395+3.079+2.394],2.769 [2.769+0+0],2.339 [2.339+0+0],8.328 [3.666+2.787+1.875],0,0,7.443 [4.602+2.841+0],10.644 [4.212+3.437+2.996],0,3.547 [3.547+0+0],5.402 [3.167+2.235+0],0,2.996 [2.996+0+0],11.055 [4.548+3.384+3.122],0,0,10.018 [4.717+2.976+2.326],8.945 [3.519+2.917+2.509],0,8.979 [3.464+2.976+2.54],0,7.999 [3.284+2.48+2.235],4.009 [4.009+0+0],3.079 [3.079+0+0],1.749 [1.749+0+0],,5.538 [2.769+2.769+0],1.598 [1.598+0+0],8.176 [3.464+3.19+1.523],6.161 [3.606+2.555+0],0,6.083 [3.26+2.823+0],0,0,8.154 [4.256+2.602+1.297],0,6.265 [3.547+2.717+0],6.364 [3.697+2.667+0],4.704 [3.037+1.667+0],1.796 [1.796+0+0],0,4.868 [2.878+1.989+0],5.178 [2.878+2.299+0],,2.422 [2.422+0+0],0,1.421 [1.421+0+0],5.026 [2.618+2.408+0],,6.453 [3.308+3.145+0],0,2.65 [2.65+0+0],2.173 [2.173+0+0],7.095 [3.016+2.394+1.685],0,0,0,0,6.813 [2.805+2.683+1.325],0,0,,5.543 [3.333+2.21+0],6.478 [6.478+0+0],2.353 [2.353+0+0],0,0,3.519 [3.519+0+0],,,0,5.106 [3.016+2.09+0],2.571 [2.571+0+0],5.501 [4.212+1.29+0],5.438 [3.058+2.38+0],,6.931 [4.974+1.957+0],0,,2.956 [2.956+0+0],,,1.865 [1.865+0+0],0,,6.478 [6.478+0+0],5.375 [3.19+2.185+0],2.222 [2.222+0+0],4.713 [3.037+1.676+0],1.676 [1.676+0+0],,3.037 [3.037+0+0],0,,1.531 [1.531+0+0],1.429 [1.429+0+0],4.857 [2.878+1.979+0],2.717 [2.717+0+0],0,3.101 [3.101+0+0],2.634 [2.634+0+0],4.725 [3.058+1.667+0],0,3.606 [3.606+0+0],,0,,5.448 [3.122+2.326+0],5.448 [3.122+2.326+0],4.327 [2.936+1.391+0],2.7 [2.7+0+0],0,,0,1.556 [1.556+0+0],3.236 [3.236+0+0],4.717 [4.717+0+0],3.308 [3.308+0+0],1.895 [1.895+0+0],,,1.947 [1.947+0+0],0,3.519 [3.519+0+0],4.974 [4.974+0+0],0,2.299 [2.299+0+0],4.775 [3.236+1.539+0],,,0,3.719 [1.885+1.835+0],3.706 [2.451+1.255+0],3.666 [3.666+0+0],4.717 [4.717+0+0],0
Losses (opponent place),[],[2 2],[1 1],[13 7],[3 1],[7 7],[3 2],[193 257],[7 4],[5 2],[5 5],[5 1],[13 3],[4 3],[5 9],[13 7],[9 2],[13 1],[9 9],[7 17],[9 3],[9 9],[5 4],[13 17],[9 9],[5 13],[13 9],[25 5],[13 1],[17 5],[97 33],[17 1],[17 17],[49 25],[33 17],[7 9],[17 4],[17 17],[25 33],[17 5],[513 769],[13 25],[13 49],[17 17],[25 13],[385 257],[49 25],[33 9],[25 33],[25 17],[17 13],[25 49],[33 13],[33 49],[25 129],[33 65],[33 65],[25 129],[1025 385],[1025 385],[9 4],[13 25],[49 33],[25 17],[25 49],[193 65],[33 17],[25 193],[65 769],[49 257],[33 33],[33 5],[769 513],[25 97],[49 49],[33 17],[25 5],[49 17],[97 49],,[65 13],[65 129],[33 3],[33 65],[97 7],[33 9],[97 257],[257 129],[25 33],[513 385],[25 65],[33 33],[49 13],[513 257],[513 385],[49 25],[33 13],,[33 49],[769 769],[129 49],[33 25],,[33 9],[257 769],[49 33],[97 97],[97 49],[513 257],[129 65],[513 1025],[385 129],[49 129],[33 49],[65 9],,[65 97],[97 65],[129 129],[65 25],[193 129],[49 9],,,[193 513],[33 257],[193 65],[33 25],[33 17],,[65 1025],[513 513],,[65 13],,,[65 65],[513 513],,[97 33],[49 65],[33 65],[49 17],[65 17],,[65 17],[769 1537],,[49 257],[49 7],[65 33],[49 7],[385 769],[49 17],[33 7],[65 33],[65 65],[193 97],,[769 129],,[97 33],[385 513],[49 385],[33 17],[257 25],,[513 1537],[129 17],[49 9],[193 13],[65 1],[193 49],,,[33 17],[65 17],[129 9],[193 129],[385 49],[33 2],[97 33],,,[385 513],[97 1025],[33 129],[385 513],[129 65],[513 1537]
Points from losses,20,12.8,16.2,6,12.6,7.2,11.2,0.05,8.4,9.6,7.2,10.8,7,9.8,6,6,8,9,5,4.2,7,5,8.4,3.5,5,6,5,4.2,9,4.2,0.1,6.3,2.45,0.7,0.7,6,4.9,2.45,0.7,4.2,0.05,3.5,1,2.45,3.5,0.05,0.7,1,0.7,2.45,3.5,0.7,1,0.2,0.35,0.1,0.1,0.35,0.05,0.05,7,3.5,0.2,2.45,0.7,0.05,0.7,0.35,0.05,0.1,0.2,1.2,0.05,0.35,0.2,0.7,4.2,0.7,0.1,,0.5,0.05,1.4,0.1,0.6,1,0.05,0.05,0.7,0.05,0.35,0.2,1,0.05,0.05,0.7,1,,0.2,0.05,0.1,0.7,,1,0.05,0.2,0.05,0.1,0.05,0.05,0.05,0.05,0.1,0.2,0.5,,0.05,0.05,0.05,0.35,0.05,1,,,0.05,0.1,0.05,0.7,0.7,,0.05,0.05,,0.5,,,0.05,0.05,,0.1,0.1,0.1,0.7,0.35,,0.35,0.05,,0.1,1.2,0.1,1.2,0.05,0.7,1.2,0.1,0.05,0.05,,0.05,,0.1,0.05,0.1,0.7,0.35,,0.05,0.35,1,0.5,0.9,0.1,,,0.7,0.35,0.5,0.05,0.1,1.6,0.1,,,0.05,0.05,0.1,0.05,0.05,0.05
Base total,151.539,103.043,116.765,36.089,88.174,49.472,78.875,1.05,50.512,72.387,68.317,51.311,37.741,76.216,39.202,36.824,41.015,40.642,43.414,42.595,46.317,32.317,53.503,29.616,38.065,47.518,30.919,14.291,33.742,17.507,5.056,32.594,14.726,4.025,9.853,36.911,32.18,29.507,6.973,33.787,1.05,15.355,14.693,15.854,17.062,1.05,5.136,14.174,13.139,12.672,18.016,7.234,7.247,13.725,14.218,4.869,4.439,12.678,1.05,1.05,18.443,18.144,2.2,9.997,8.102,1.05,5.696,15.405,1.05,1.1,14.218,14.145,1.05,13.329,1.2,12.699,12.209,5.779,2.849,,8.038,3.648,11.576,10.261,1.6,11.083,1.05,1.05,10.854,1.05,10.615,10.564,7.704,2.846,1.05,7.568,10.178,,3.622,1.05,2.521,9.726,,9.453,1.05,3.85,3.223,8.195,1.05,1.05,1.05,1.05,8.913,1.2,1.5,,7.593,7.528,3.403,1.35,1.05,6.519,,,1.05,7.206,3.621,8.201,8.138,,7.981,1.05,,5.456,,,2.915,1.05,,7.578,7.475,4.322,7.413,4.026,,4.387,1.05,,2.631,4.629,6.957,5.917,1.05,5.801,5.834,6.825,2.05,4.656,,1.05,,6.548,6.498,6.427,5.4,1.35,,1.05,2.906,6.236,6.217,6.208,2.995,,,4.647,1.35,5.019,6.024,1.1,5.899,5.875,,,1.05,4.769,5.806,4.716,5.767,1.05
Points after weight (1 => x1),151.539,103.043,116.765,36.089,88.174,49.472,78.875,1.05,50.512,72.387,68.317,51.311,37.741,76.216,39.202,36.824,41.015,40.642,43.414,42.595,46.317,32.317,53.503,29.616,38.065,47.518,30.919,14.291,33.742,17.507,5.056,32.594,14.726,4.025,9.853,36.911,32.18,29.507,6.973,33.787,1.05,15.355,14.693,15.854,17.062,1.05,5.136,14.174,13.139,12.672,18.016,7.234,7.247,13.725,14.218,4.869,4.439,12.678,1.05,1.05,18.443,18.144,2.2,9.997,8.102,1.05,5.696,15.405,1.05,1.1,14.218,14.145,1.05,13.329,1.2,12.699,12.209,5.779,2.849,,8.038,3.648,11.576,10.261,1.6,11.083,1.05,1.05,10.854,1.05,10.615,10.564,7.704,2.846,1.05,7.568,10.178,,3.622,1.05,2.521,9.726,,9.453,1.05,3.85,3.223,8.195,1.05,1.05,1.05,1.05,8.913,1.2,1.5,,7.593,7.528,3.403,1.35,1.05,6.519,,,1.05,7.206,3.621,8.201,8.138,,7.981,1.05,,5.456,,,2.915,1.05,,7.578,7.475,4.322,7.413,4.026,,4.387,1.05,,2.631,4.629,6.957,5.917,1.05,5.801,5.834,6.825,2.05,4.656,,1.05,,6.548,6.498,6.427,5.4,1.35,,1.05,2.906,6.236,6.217,6.208,2.995,,,4.647,1.35,5.019,6.024,1.1,5.899,5.875,,,1.05,4.769,5.806,4.716,5.767,1.05
Final points after recency (x1),151.539,103.043,116.765,36.089,88.174,49.472,78.875,1.05,50.512,72.387,68.317,51.311,37.741,76.216,39.202,36.824,41.015,40.642,43.414,42.595,46.317,32.317,53.503,29.616,38.065,47.518,30.919,14.291,33.742,17.507,5.056,32.594,14.726,4.025,9.853,36.911,32.18,29.507,6.973,33.787,1.05,15.355,14.693,15.854,17.062,1.05,5.136,14.174,13.139,12.672,18.016,7.234,7.247,13.725,14.218,4.869,4.439,12.678,1.05,1.05,18.443,18.144,2.2,9.997,8.102,1.05,5.696,15.405,1.05,1.1,14.218,14.145,1.05,13.329,1.2,12.699,12.209,5.779,2.849,,8.038,3.648,11.576,10.261,1.6,11.083,1.05,1.05,10.854,1.05,10.615,10.564,7.704,2.846,1.05,7.568,10.178,,3.622,1.05,2.521,9.726,,9.453,1.05,3.85,3.223,8.195,1.05,1.05,1.05,1.05,8.913,1.2,1.5,,7.593,7.528,3.403,1.35,1.05,6.519,,,1.05,7.206,3.621,8.201,8.138,,7.981,1.05,,5.456,,,2.915,1.05,,7.578,7.475,4.322,7.413,4.026,,4.387,1.05,,2.631,4.629,6.957,5.917,1.05,5.801,5.834,6.825,2.05,4.656,,1.05,,6.548,6.498,6.427,5.4,1.35,,1.05,2.906,6.236,6.217,6.208,2.995,,,4.647,1.35,5.019,6.024,1.1,5.899,5.875,,,1.05,4.769,5.806,4.716,5.767,1.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Winter Championship 2020 NA 1v1 - 2/22/2020 - 63 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,5,4,5,1,7,3,9,2,7,17,17,13,9,49,9,9,13,17,17,17,25,13,33,13,33,33,25,17,33,25,17,49,25,17,25,129,129,65,25,,25,33,49,33,33,25,33,49,49,49,513,33,33,49,65,33,33,65,33,33,,,33,65,65,49,49,,49,33,,,49,,49,,,65,65,49,193,65,,513,49,,65,65,,49,,,129,257,49,129,,97,97,65,65,,65,,65,129,129,513,65,65,65,65,,65,65,65,257,193,65,65,97,,193,65,65,129,257,,,97,,65,65,129,65,65,97,97,97,,,129,,193,65,129,129,97,129,193,,257,97,129,513,,129,385,65,129,97,,,,513,257,257,129,129,,,,97,97,97,257,97,385,,97,,,257,257,193,,,513,,193
Points from place,50,60,50,110,40,70,28,80,40,20,20,24,28,4,28,28,24,20,20,20,16,24,4,24,4,4,16,20,4,16,20,4,16,20,16,1,1,2,16,,16,4,4,4,4,16,4,4,4,4,1,4,4,4,2,4,4,2,4,4,,,4,2,2,4,4,,4,4,,,4,,4,,,2,2,4,1,2,,1,4,,2,2,,4,,,1,1,4,1,,2,2,2,2,,2,,2,1,1,1,2,2,2,2,,2,2,2,1,1,2,2,2,,1,2,2,1,1,,,2,,2,2,1,2,2,2,2,2,,,1,,1,2,1,1,2,1,1,,1,2,1,1,,1,1,2,1,2,,,,1,1,1,1,1,,,,2,2,2,1,2,1,,2,,,1,1,1,,,1,,1
Wins (opponent seed),[3 16 18],[2 4 8],[1 9 25],[5 6 14],[6 13 30],[8 13 21],[15 20 47],[1 2 5],[16 18 31],[41 56 73],[37 43 53],[17 38 59],[3 19 51],[67 88 451],[17 19 22],[4 20 52],[15 44 53],[12 38 43],[36 61 125],[32 48 50],[34 75 98],[9 29 46],[29 93 100],[42 45 51],[40 72 83],[103 117 122],[30 61 114],[31 49 50],[33 86 115],[24 55 119],[10 23 87],[63 85 191],[28 80 92],[25 68 71],[32 33 34],[186 583 954],[110 147 403],[123 190 446],[23 41 55],,[35 36 62],[24 88 105],[105 187 315],[40 104 281],[67 88 94],[27 91 106],[45 52 98],[68 87 445],[69 82 559],[81 126 209],[65],[35 94 414],[63 95 116],[72 339 467],[85 213 469],[12 76 716],[47 79 92],[107 147 339],[46 78 97],[27 59 113],,,[28 60 82],[95 154 410],[88 112 489],[43 86 121],[93 202 330],,[44 66 199],[48 91 433],,,[26 117 205],,[84 127 173],,,[102 230 486],[93 101 157],[56 102 158],[121 328 776],[115 118 206],,[544],[64 110 598],,[70 126 190],[89 96 153],,[78 89 473],,,[168 601 936],[217 488 552],[101 119 284],[175 431 1106],,[73 201 248],[33 289 480],[76 77 397],[69 125 444],,[87 111 151],,[71 127 319],[30 483 798],[57 249 505],[790 939],[84 620 684],[85 109 469],[81 169 233],[69 197 709],,[57 128 456],[74 399 399],[77 77 333],[405 1109 1196],[472 809 920],[99 475 603],[79 119 330],[63 127 575],,[33 160 224],[65 185 200],[103 231 487],[319 575 1087],[149 172 428],,,[83 110 494],,[100 165 357],[73 120 568],[215 426 938],[64 192 577],[96 97 673],[139 331 630],[389 645 901],[51 142 462],,,[160 416 1121],,[116 308 628],[89 97 289],[156 412 1125],[49 208 561],[65 193 385],[253 516 573],[205 372 692],,[406 918],[98 226 418],[410 602 666],[786],,[71 826 826],[268 309],[106 279 490],[154 231 538],[107 150 299],,,,[839 1031],[51 270 526],[70 123 326],[35 478 803],[119 714 823],,,,[245 588 844],[71 250 711],[101 220 293],[528 561 720],[89 281 409],[719 754],,[82 722 751],,,[23 535],[23 279 727],[102 230 347],,,[558],,[132 189 260]
Points from wins,19.161 [8.239+5.556+5.367],23.333 [8.889+7.778+6.667],21.318 [10+6.478+4.84],20.318 [7.42+7.128+5.77],17.564 [7.128+5.888+4.548],17.675 [6.667+5.888+5.12],14.685 [5.659+5.198+3.828],26.309 [10+8.889+7.42],15.418 [5.556+5.367+4.495],10.717 [4.047+3.547+3.122],11.818 [4.212+3.971+3.636],13.091 [5.458+4.169+3.464],17.216 [8.239+5.28+3.697],6.083 [3.26+2.823+0],15.784 [5.458+5.28+5.045],16.642 [7.778+5.198+3.666],13.229 [5.659+3.934+3.636],14.156 [6.017+4.169+3.971],9.926 [4.256+3.41+2.26],11.968 [4.444+3.794+3.729],10.077 [4.347+3.079+2.65],14.943 [6.478+4.602+3.863],9.954 [4.602+2.734+2.618],11.604 [4.009+3.898+3.697],10.148 [4.087+3.145+2.917],7.236 [2.571+2.366+2.299],10.366 [4.548+3.41+2.408],11.986 [4.495+3.761+3.729],9.649 [4.395+2.86+2.394],10.821 [4.906+3.576+2.339],14.124 [6.309+4.974+2.841],7.818 [3.359+2.878+1.581],10.386 [4.658+2.976+2.752],11.243 [4.84+3.236+3.167],13.187 [4.444+4.395+4.347],1.623 [1.623+0+0],4.466 [2.465+2+0],3.875 [2.286+1.589+0],12.597 [4.974+4.047+3.576],,11.941 [4.301+4.256+3.384],10.268 [4.906+2.823+2.54],4.154 [2.54+1.615+0],6.642 [4.087+2.555+0],8.8 [3.26+2.823+2.717],10.01 [4.717+2.769+2.525],10.214 [3.898+3.666+2.65],6.077 [3.236+2.841+0],6.149 [3.213+2.936+0],6.639 [2.956+2.247+1.436],3.308,7.018 [4.301+2.717+0],8.439 [3.359+2.7+2.38],3.145 [3.145+0+0],4.284 [2.878+1.406+0],9.075 [6.017+3.058+0],9.576 [3.828+2.996+2.752],4.51 [2.509+2+0],9.546 [3.863+3.016+2.667],10.603 [4.717+3.464+2.422],,,11.031 [4.658+3.437+2.936],4.626 [2.7+1.926+0],5.259 [2.823+2.436+0],9.143 [3.971+2.86+2.312],4.225 [2.734+1.491+0],,8.733 [3.934+3.284+1.515],6.564 [3.794+2.769+0],,,8.611 [4.777+2.366+1.467],,6.872 [2.897+2.235+1.739],,,3.869 [2.586+1.283+0],7.231 [2.734+2.602+1.895],8.018 [3.547+2.586+1.885],2.312 [2.312+0+0],6.206 [2.394+2.353+1.459],,0,5.798 [3.333+2.465+0],,7.026 [3.19+2.247+1.589],7.424 [2.805+2.683+1.936],,5.821 [3.016+2.805+0],,,1.786 [1.786+0+0],1.376 [1.376+0+0],4.941 [2.602+2.339+0],1.721 [1.721+0+0],,5.783 [3.122+1.499+1.162],4.395 [4.395+0+0],6.095 [3.058+3.037+0],5.473 [3.213+2.26+0],,7.249 [2.841+2.451+1.957],,5.402 [3.167+2.235+0],4.548 [4.548+0+0],4.675 [3.519+1.156+0],0,2.897 [2.897+0+0],5.358 [2.878+2.48+0],5.995 [2.956+1.777+1.262],4.744 [3.213+1.531+0],,5.741 [3.519+2.222+0],3.101 [3.101+0+0],6.074 [3.037+3.037+0],0,0,2.634 [2.634+0+0],5.335 [2.996+2.339+0],5.593 [3.359+2.235+0],,7.585 [4.395+1.865+1.325],6.447 [3.308+1.632+1.507],3.846 [2.571+1.276+0],0,3.727 [1.979+1.749+0],,,5.382 [2.917+2.465+0],,4.433 [2.618+1.815+0],5.448 [3.122+2.326+0],1.391 [1.391+0+0],4.906 [3.333+1.572+0],5.35 [2.683+2.667+0],2.09 [2.09+0+0],0,5.753 [3.697+2.056+0],,,1.865 [1.865+0+0],,2.38 [2.38+0+0],5.472 [2.805+2.667+0],1.905 [1.905+0+0],5.205 [3.761+1.444+0],4.872 [3.308+1.564+0],1.13 [1.13+0+0],1.467 [1.467+0+0],,0,3.961 [2.65+1.311+0],0,0,,3.167 [3.167+0+0],0,2.525 [2.525+0+0],3.202 [1.926+1.276+0],4.477 [2.509+1.968+0],,,,0,3.697 [3.697+0+0],5.476 [3.19+2.286+0],4.301 [4.301+0+0],2.339 [2.339+0+0],,,,1.182 [1.182+0+0],4.316 [3.167+1.149+0],3.956 [2.602+1.354+0],0,2.805 [2.805+0+0],0,,2.936 [2.936+0+0],,,4.974 [4.974+0],4.974 [4.974+0+0],3.869 [2.586+1.283+0],,,0,,3.77 [2.173+1.598+0]
